ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_veg_crop_tr_01, 103.1627, 287.7086, 109.2972, 0.07641397, -0.02310599, 0.7923677, 0.6047978, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_long_0.ymap
prop_veg_crop_tr_01, 67.67023, 298.6529, 110.5446, 0, 0, 0.7372773, 0.6755903, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_long_0.ymap
prop_veg_crop_tr_01, 259.2143, 365.8975, 104.4899, 0, 0, 0.07466696, 0.9972085, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_long_0.ymap
prop_veg_crop_tr_01, 220.0452, 293.0519, 105.2064, 0.04682902, -0.07350603, 0.8836353, 0.4599921, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_long_0.ymap
prop_veg_crop_tr_01, 227.5951, 312.2781, 105.22, 0.06425801, -0.05888201, 0.734472, 0.6730191, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_long_0.ymap
prop_veg_crop_tr_01, 179.1926, 397.9481, 107.8887, -3.200035E-05, -0.140123, 0.666599, 0.732128, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_strm_1.ymap
prop_veg_crop_tr_01, 171.4419, 393.7616, 108.1585, 0, 0, 0.7372773, 0.6755903, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_01_strm_1.ymap
prop_veg_crop_tr_01, 238.621, -50.33354, 68.7704, -0.033392, 0.010749, 0.5958789, 0.8023078, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_0.ymap
prop_veg_crop_tr_01, 218.4493, -22.69381, 68.7946, -0.137458, 0.05171199, 0.013115, 0.9890699, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_0.ymap
prop_veg_crop_tr_01, 242.1615, -32.62066, 69.218, -0.03340399, -0.01071, 0.9516625, 0.3051359, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_0.ymap
prop_veg_crop_tr_01, 289.1305, -129.7941, 68.55698, 0.07549704, 0.04349202, 0.7969013, -0.5977933, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_16_strm_0.ymap
prop_veg_crop_tr_01, 974.7446, -423.908, 62.85011, 0.019346, 0.02424, -0.219102, 0.9752089, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 964.9583, -431.2778, 63.16022, 0, 0, -0.2188381, 0.9757612, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 965.8251, -436.5277, 61.68833, 0, 0, -0.4248443, 0.9052665, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 920.7488, -451.3469, 59.62293, 0, 0, 0.128089, 0.9917627, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 991.1951, -412.3075, 64.13633, 0, 0, 0.9880335, -0.1542401, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 818.3852, -523.1563, 55.89729, 0.05799298, 0.05687298, 0.9966776, -0.006009998, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 818.8369, -532.1993, 55.6475, 0.06071101, 0.058133, 0.8898211, -0.4485011, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 839.2455, -506.0449, 56.42335, 0, 0, 0.897514, -0.440986, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 957.2567, -698.3118, 57.146, -0.144662, -0.02728799, 0.9746208, -0.16865, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 961.8074, -717.2325, 56.96558, 0.07116602, -0.04273501, -0.4088081, 0.9088372, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 927.0016, -662.4163, 57.02726, -0.08004197, -0.02200299, 0.9398178, -0.3314389, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_veg_crop_tr_01, 1004.825, -403.5605, 64.44706, 0, 0, 0.9774176, 0.2113169, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_strm_0.ymap
prop_veg_crop_tr_01, 906.7797, -458.9044, 59.62293, 0, 0, 0.9880335, -0.1542401, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_strm_0.ymap
