ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_w_r_cedar_01, -2442.517, 1772.565, 165.6251, 0.010725, 0.030212, -0.5922641, 0.8051059, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2347.032, 1743.695, 212.677, 0, 0, 0.8712841, -0.490779, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2378.458, 1724.523, 207.744, 0.03463, 0.002877, -0.664363, 0.7466019, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2389.516, 1738.94, 194.4083, 0.040429, 0.038809, -0.6700429, 0.7402039, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2323.683, 1716.22, 227.216, -0.01634, -0.03685301, 0.4050011, 0.9134271, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2404.867, 1744.686, 187.7816, -0.03038098, 0.005470997, -0.5967577, 0.8018275, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2359.079, 1749.668, 206.46, 0.01277, 0.004291999, -0.2898849, 0.9569667, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2440.467, 1779.024, 168.0866, 0.035014, -0.00207, -0.393916, 0.9184769, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2376.854, 1772.7, 208.5809, 0, 0, 0.5357298, 0.8443895, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2394.198, 1787.43, 193.5075, 0.004931998, 0.03597599, 0.6273398, 0.7778986, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2349.635, 1751.408, 211.2991, 0.01983101, -0.002800002, 0.07276004, 0.9971484, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2368.237, 1722.807, 212.9007, 0, 0, 0.9943528, 0.106126, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2416.169, 1745.523, 184.7273, -0.009317004, 0.02259501, -0.4833622, 0.8750793, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2464.284, 1931.777, 179.1107, -0.009317004, 0.02259501, -0.4833622, 0.8750793, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2445.727, 1934.352, 177.6076, -0.03569302, -0.04320502, 0.7508014, -0.6581463, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2452.982, 1930.94, 179.1261, -0.03038098, 0.005470997, -0.5967577, 0.8018275, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_w_r_cedar_01, -2333.2, 1726.637, 220.3888, 0.03975799, -0.015488, 0.5756319, 0.816595, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_1.ymap
prop_w_r_cedar_01, -2593.324, 1937.424, 159.6503, -0.07083502, 0.012664, 0.8758333, -0.4772191, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_w_r_cedar_01, -2591.219, 1937.781, 159.6503, 0.02835901, 0.031099, 0.8788041, -0.4753231, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_w_r_cedar_01, -2604.519, 2059.198, 80.62428, 0.03663902, 0.04382203, 0.8619915, 0.5036943, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_w_r_cedar_01, -2584.677, 2043.359, 96.98495, 0, 0, 0.8793209, -0.4762299, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_w_r_cedar_01, -2569.23, 2017.092, 114.9289, -0.004789996, 0.05150097, 0.5730386, 0.8178945, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_w_r_cedar_01, -2575.253, 2017.063, 108.5567, 0.03485301, 0.03881801, -0.197316, 0.9789509, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_w_r_cedar_01, -2607.358, 2057.184, 82.80436, 0.012017, 0.084263, 0.996359, 0.004929, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
