ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bush_lrg_04b, -94.7359, -543.4792, 30.40106, 0.069355, 0.020207, -0.2257389, 0.9715058, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -373.9959, -735.3289, 34.18404, 0.07297099, -0.02431299, 0.8114698, 0.5793109, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -365.5354, -678.5289, 32.58763, 0.06767001, 0.04769501, -0.395849, 0.9145761, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -40.82086, -844.652, 42.34196, -0.05881499, -0.045408, 0.609423, 0.7893558, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -30.85858, -806.89, 44.57247, 0, 0, 0.9238797, -0.3826829, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -118.5982, -829.1865, 43.57201, 0, 0, 0.9238797, -0.3826829, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -324.8585, -826.2559, 32.93195, -0.008556, -0.044725, 0.44492, 0.8944119, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -368.1623, -873.5741, 33.52718, 0.2208421, -0.004905003, 0.8435564, 0.4895073, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -265.447, -1021.158, 28.68031, 0.164449, 0.032802, 0.220933, 0.9607649, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, -269.8336, -1026.667, 28.68031, -0.07359699, -0.128074, 0.718824, -0.679318, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_bush_lrg_04b, 384.5364, -434.8658, 44.17165, -0.117561, -0.03528699, -0.1843909, 0.9751586, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 365.8225, -446.0959, 42.28983, -0.141143, -0.016074, -0.112007, 0.9835013, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 369.7192, -431.5095, 45.29465, 0.038252, -0.04882301, 0.8735951, -0.4826851, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 406.2263, -423.0728, 45.40283, 0.106921, -0.114197, 0.9099473, -0.3840871, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 436.9374, -328.1792, 47.96748, 0.135148, 0.07872996, 0.8427536, 0.5150757, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 420.5669, -416.941, 44.60545, -0.03575699, -0.1526859, 0.7801727, 0.6055897, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 360.4009, -306.6439, 51.81475, 0.036511, -0.029483, 0.7771559, 0.627556, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 363.759, -299.026, 52.25068, 0.133901, -0.126113, 0.8369711, -0.515408, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 397.0068, -307.8363, 50.63043, 0, 0, 0.9806008, -0.196016, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 362.4473, -84.82443, 68.04016, 0, 0, 0.7351733, 0.6778793, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 261.9936, -339.6243, 44.67367, 0.130211, -0.07771201, 0.7289931, 0.667514, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_bush_lrg_04b, 271.7418, 410.1525, 115.2349, 0, 0, 0.9875176, 0.1575091, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 399.1921, 43.44757, 91.60358, 0, 0, 0.3958961, 0.9182953, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 215.5541, 397.0379, 111.865, -0.124788, -0.104947, 0.4971421, 0.8522111, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 166.2946, 402.1202, 112.0778, 0.123808, -0.078477, 0.8354949, -0.529586, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 112.3172, 366.9128, 113.8727, 0.04387601, 0.05727401, -0.4321561, 0.8989081, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 50.68243, 40.47482, 73.52505, 0.01918101, -0.04883002, 0.6338773, 0.7716523, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 115.9412, 23.11807, 72.3867, 0.03799, -0.03618, 0.249177, 0.967036, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 285.0513, 319.801, 105.5294, 0.06730299, -0.015407, 0.9724599, -0.222609, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 522.8049, -3.784821, 89.73874, -0.04215399, -0.04220799, 0.7093488, -0.7023288, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 552.1655, 27.625, 94.53625, 0, 0, 0.9988269, -0.048424, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 803.9176, 110.4624, 73.43048, -0.163991, -0.114322, 0.284516, 0.937597, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 802.0748, 118.4228, 77.98587, 0.003848998, -0.01501499, -0.1530319, 0.9880997, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 904.9314, 254.0439, 81.7352, -0.163991, -0.114322, 0.284516, 0.937597, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 900.7002, 256.9054, 84.54037, 0.09727796, -0.012376, -0.09002997, 0.9910996, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 1009.673, 372.0497, 89.03766, 0.011008, 0.026574, 0.905933, 0.422443, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 1018.53, 456.0034, 93.67815, -0.02762001, -0.03602402, 0.4297222, 0.9018194, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 1047.073, 419.8943, 90.59343, 0.001966001, -0.007019005, 0.6864375, 0.7271523, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 957.5786, 338.5247, 88.22746, 0.01485401, -0.02538301, 0.9995005, -0.01157201, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 964.6445, 348.5783, 88.6707, -0.05421999, -0.005259999, -0.2168189, 0.9746907, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 923.0135, 124.4666, 78.53673, 0.01485299, 0.01510399, 0.9423075, -0.3340778, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 907.1897, 101.4123, 77.04196, -0.119384, 0.03942199, 0.9830598, 0.133368, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 894.5371, 120.414, 73.25208, 0.006039999, 0.142942, 0.4248269, 0.8938978, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 684.8971, 186.8364, 93.81552, 0.020063, -0.038395, -0.321597, 0.9458851, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 713.4398, 90.72031, 83.22137, -0.012617, -0.04708699, 0.6492458, 0.7590148, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 694.3841, 81.68199, 84.83104, -0.02271398, -0.04313296, 0.4653916, 0.8837614, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 561.2196, -47.50424, 74.54193, -0.059537, -0.003717, 0.9966129, -0.056607, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 614.185, -32.75314, 78.18961, -0.044416, -0.039821, 0.8171509, 0.5733289, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 557.5878, -120.182, 65.88885, -0.107622, -0.08081201, 0.7880992, 0.6006551, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 520.2627, -77.42368, 72.28799, 0.014041, -0.05797701, -0.118025, 0.9912173, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 475.1372, -358.2599, 46.16895, 0.02485301, -0.06184802, 0.8471533, 0.5271512, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 470.3655, -363.9307, 46.8631, 0.06484, -0.030002, 0.985622, -0.153118, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 563.3429, -197.3702, 58.87139, -0.157421, 0.133385, 0.74008, 0.640085, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 594.2152, -200.0977, 62.97717, -0.1257581, -0.1325411, 0.1677741, 0.9687464, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 474.884, -277.8232, 47.11368, -0.09866497, 0.09672397, 0.4448949, 0.8848606, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 557.9681, -314.3557, 39.46303, -0.016924, -0.06407198, 0.02430199, 0.9975058, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 555.2825, -258.9341, 51.84056, -0.04722701, -0.04948501, 0.9366032, 0.3436501, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 636.7582, -107.1039, 74.62524, -0.02302599, 0.001218, 0.8925257, -0.4504068, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 636.6112, -115.917, 73.56792, -0.1800411, -0.002275, -0.5158472, 0.8375451, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 563.9908, -255.6482, 51.01655, -0.08705501, -0.192757, 0.13651, 0.9677971, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 931.201, -217.2488, 70.42458, -0.131463, 0.029652, 0.512419, 0.8480949, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 832.4925, -132.6284, 78.61351, -0.09214605, -0.04560702, 0.1749731, 0.9791902, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 867.7434, -179.0143, 75.19449, -0.04315101, -0.04153101, -0.6101412, 0.790026, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 796.6884, -115.9555, 77.99953, 0.136141, -0.09900101, 0.9669203, -0.19165, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 789.543, -110.6638, 77.69317, 0.04319298, -0.06586097, 0.9474905, -0.3099329, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 687.6808, -46.15683, 78.79993, -0.09482604, 0.05938303, -0.6180663, 0.7781233, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 693.2926, -60.52914, 74.56763, -0.02851701, 0.003755002, -0.6425211, 0.765728, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_bush_lrg_04b, 750.0667, -1624.701, 30.76215, 0, 0, -0.443242, 0.896402, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_0.ymap
prop_bush_lrg_04b, 788.9526, -1583.625, 29.57427, 0, 0, -0.34203, 0.939689, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_0.ymap
prop_bush_lrg_04b, 708.864, -2556.769, 10.66995, 0, 0, 0.8102561, 0.5860761, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_0.ymap
prop_bush_lrg_04b, 664.7793, -2516.857, 17.69, -0.177024, 0.07238899, 0.4729719, 0.8600698, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_0.ymap
prop_bush_lrg_04b, 1170.039, -1620.975, 35.95386, -0.07961701, -0.03206, 0.9656911, 0.2451, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_bush_lrg_04b, 1130.536, -1655.746, 33.79939, -0.050525, 0.074232, -0.620916, 0.778717, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
