ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_cactus_01a, -2117.819, -320.9049, 12.56146, 0, 0, 0.5446388, 0.8386707, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01a, -2116.228, -336.2624, 12.58614, 0, 0, 0.05233599, 0.9986295, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01a, -2120.519, -329.4316, 12.63987, 0, 0, 0.5446388, 0.8386707, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01a, -2078.473, -345.0553, 12.49549, 0, 0, 0.05233599, 0.9986295, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01a, -1898.893, -596.1345, 10.7631, 0, 0, -0.6252087, 0.7804576, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_strm_0.ymap
prop_cactus_01a, -1881.844, -610.5398, 10.74568, 0, 0, -0.3420199, 0.9396927, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_strm_0.ymap
prop_cactus_01a, -1876.23, -580.4667, 10.77466, 0, 0, -0.3420199, 0.9396927, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_strm_0.ymap
prop_cactus_01a, -1081.419, -1686.881, 3.500881, 0, 0, 0.9537169, 0.300706, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_long_0.ymap
prop_cactus_01a, -1069.081, -1677.776, 3.569359, 0, 0, 0.8870111, 0.4617481, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_long_0.ymap
prop_cactus_01a, -2978.719, 648.7328, 24.73917, -1.1E-05, -2E-06, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_1.ymap
prop_cactus_01a, -2975.054, 634.8573, 24.65478, -6.000001E-06, -9E-06, -0.662527, 0.749038, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_1.ymap
prop_cactus_01a, -2972.098, 623.4446, 24.66194, 2.000001E-06, 1.100001E-05, 0.9349904, -0.3546731, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_1.ymap
prop_cactus_01a, 140.6588, 568.6741, 182.6184, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05c_strm_1.ymap
prop_cactus_01a, -1017.907, 755.424, 170.3826, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
prop_cactus_01a, -1388.73, 736.8511, 181.8161, -0.03601101, 0, 0, 0.9993514, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01a, -1359.651, 728.2105, 184.1777, 0.06586704, 0, 0, 0.9978284, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01a, -1353.679, 725.4785, 185.3244, 0.02598601, 0.04239901, 0.5219061, 0.8515521, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01a, -1352.365, 724.771, 185.4809, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01a, -1363.964, 546.4345, 129.7396, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_long_0.ymap
prop_cactus_01a, -1346.461, 507.8186, 102.1628, -2.799999E-05, 0.001202, 0.9288999, -0.3703289, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_long_0.ymap
prop_cactus_01a, -353.4423, 6241.529, 30.37408, 0, 0, 0.3826829, 0.9238797, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01a, -378.7194, 6187.648, 30.44501, 0, 0, 0.899829, -0.436243, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01a, -335.2011, 6223.438, 30.42609, 0, 0, 0.5877851, 0.8090171, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01a, -360.7949, 6248.745, 30.42152, 0, 0, 0.9063079, -0.422618, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01a, -354.8752, 6243.091, 30.42717, 0, 0, 0.7071068, -0.7071068, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01a, -211.4921, 6456.381, 30.20209, -0.02505501, -0.03397501, -0.5475751, 0.835691, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_3.ymap
prop_cactus_01a, -212.7876, 6456.779, 30.20786, 0, 0, 0, 1, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_3.ymap
prop_cactus_01a, 1774.801, 3445.537, 38.41507, -0.01853801, -0.006337003, 0.9051864, -0.4245632, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_1.ymap
prop_cactus_01a, 1735.025, 3475.251, 37.25927, 0.017611, -0.007946, -0.418047, 0.9082199, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_1.ymap
prop_cactus_01a, 1755.255, 3447.293, 37.64344, 0.002832999, 0.02386999, -0.4261659, 0.9043257, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_1.ymap
prop_cactus_01a, 486.083, 3505.895, 33.00697, 0, 0, 0.7423008, -0.6700668, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_long_0.ymap
prop_cactus_01a, 426.1823, 3491.958, 33.4802, 0, 0, 0.7423008, -0.6700668, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_long_0.ymap
prop_cactus_01a, 400.7562, 3500.093, 33.77855, 0, 0, 0.9811904, 0.1930431, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_long_0.ymap
prop_cactus_01a, 403.2722, 3497.596, 33.52569, 0, 0, 0.7423008, -0.6700668, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_long_0.ymap
prop_cactus_01a, 1189.744, 3196.79, 39.02264, -0.03131802, 0.02319301, 0.3827462, 0.9230312, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_0.ymap
prop_cactus_01a, 1156.706, 3196.207, 39.97131, -0.05099601, 0.030399, -0.6705391, 0.7394949, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_0.ymap
prop_cactus_01a, 1686.063, 3415.951, 37.12325, 0.01077799, 0.03979198, 0.7084166, 0.7045896, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1684.234, 3396.065, 37.59399, -0.01117, 0.01951, 0.8676249, 0.4967109, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1676.243, 3398.867, 37.17812, -0.004188001, 0.02729901, 0.4425711, 0.896308, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1678.409, 3397.503, 37.31533, -0.01710999, 0.02489499, 0.8034757, 0.5945708, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1699.122, 3425.107, 35.96679, 0, 0, 0.9271841, 0.3746061, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1673.743, 3403.837, 36.35961, 0, 0, 0.9238797, 0.3826829, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1662.483, 3375.159, 37.55843, 0, 0, -0.6087614, 0.7933534, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01a, 1659.129, 3382.568, 37.08059, 0, 0, 0.7193401, 0.694658, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
