ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_cactus_01b, -469.5188, -43.18149, 44.68896, 0, 0, 0.7807329, -0.6248649, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_0.ymap
prop_cactus_01b, -490.3904, -64.25251, 39.40697, 0, 0, 0.9406259, 0.339445, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_2.ymap
prop_cactus_01b, -2128.859, -313.7244, 12.4757, 0, 0, 0.05233599, 0.9986295, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01b, -2115.374, -320.599, 12.57245, 0, 0, 0.5446388, 0.8386707, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01b, -2118.073, -329.1257, 12.57245, 0, 0, 0.5446388, 0.8386707, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_0.ymap
prop_cactus_01b, -1898.113, -596.8041, 10.83035, 0, 0, -0.6427881, 0.7660441, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_strm_0.ymap
prop_cactus_01b, -1884.637, -607.865, 10.78321, 0, 0, 0.3826829, 0.9238797, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_strm_0.ymap
prop_cactus_01b, -1877.125, -581.406, 10.77585, 0, 0, 0.3826829, 0.9238797, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_strm_0.ymap
prop_cactus_01b, -1071.84, -1680.422, 3.638168, 0, 0, 0.8314699, 0.5555699, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_strm_0.ymap
prop_cactus_01b, -1078.986, -1685.227, 3.638168, 0, 0, -0.3007059, 0.9537169, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_strm_0.ymap
prop_cactus_01b, -2577.562, 1909.438, 166.1968, 0, 0, 0.8778814, 0.4788782, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_strm_7.ymap
prop_cactus_01b, -2977.862, 645.0716, 24.79913, -1.1E-05, -2E-06, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_strm_0.ymap
prop_cactus_01b, -2981.262, 659.9081, 24.80814, -1.1E-05, -2E-06, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_strm_0.ymap
prop_cactus_01b, -2973.506, 628.8782, 24.55318, -5.999999E-06, 8.999998E-06, 0.9412438, 0.3377279, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_strm_0.ymap
prop_cactus_01b, -606.2285, 827.2877, 204.8921, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_1.ymap
prop_cactus_01b, -609.0582, 824.4816, 204.4851, 0, 0, 0.405757, 0.913981, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_1.ymap
prop_cactus_01b, -621.2307, 823.7535, 205.1548, 0, 0, 0.4849043, 0.8745673, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_1.ymap
prop_cactus_01b, -1330.251, 745.9319, 184.5427, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01b, -1367.815, 731.2362, 182.9583, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01b, -1359.362, 727.0631, 184.5225, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_1.ymap
prop_cactus_01b, -1368.249, 550.4163, 128.0584, 0, 0, -0.3006119, 0.9537466, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_strm_0.ymap
prop_cactus_01b, -935.9661, 602.4614, 104.4423, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11b_strm_0.ymap
prop_cactus_01b, -938.3657, 605.8073, 108.778, 0, 0, 1, 0, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11b_strm_0.ymap
prop_cactus_01b, -1235.917, 439.7497, 84.67163, 0, 0, 0.8241263, -0.5664061, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_0.ymap
prop_cactus_01b, -1201.462, 429.2436, 84.34088, 0, 0, 0.8241263, -0.5664061, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_0.ymap
prop_cactus_01b, -1172.206, 512.8542, 85.29335, 0, 0, 0.9990482, 0.04361901, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_1.ymap
prop_cactus_01b, -1171.249, 501.9156, 85.29335, 0, 0, 0.8191523, -0.5735762, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_1.ymap
prop_cactus_01b, -1144.147, 513.2067, 85.48482, 0, 0, 0.9990482, 0.04361901, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_1.ymap
prop_cactus_01b, -1143.822, 507.624, 85.42303, 0, 0, 0.8191523, -0.5735762, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_1.ymap
prop_cactus_01b, -1029.264, 591.47, 102.2731, 0, 0, -0.156435, 0.9876882, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_2.ymap
prop_cactus_01b, -1044.033, 591.0435, 102.2593, 0, 0, 0.97237, -0.233445, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_2.ymap
prop_cactus_01b, -1042.868, 557.0471, 99.50757, 0, 0, -0.156435, 0.9876882, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_2.ymap
prop_cactus_01b, -119.0233, 6466.326, 30.59448, 0, 0, 0, 1, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_04_strm_0.ymap
prop_cactus_01b, -120.0369, 6467.162, 30.58759, 0, 0, 0.9990482, -0.04361901, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_04_strm_0.ymap
prop_cactus_01b, -203.1281, 6414.74, 30.74817, 0, 0, 0, 1, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_04_strm_0.ymap
