ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_cactus_01c, 931.3014, -1965.811, 29.66983, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_4.ymap
prop_cactus_01c, -1069.882, -1676.958, 3.569359, 0, 0, 0.779885, -0.625923, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_strm_0.ymap
prop_cactus_01c, -1061.798, -1670.458, 3.558296, 0, 0, 0.7368181, 0.6760911, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_strm_0.ymap
prop_cactus_01c, -1062.746, -1671.589, 3.54953, 0, 0, 0.2069131, 0.9783593, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_strm_0.ymap
prop_cactus_01c, -2573.297, 1898.101, 166.1968, 0.026876, -0.030551, 0.876938, 0.478878, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_strm_7.ymap
prop_cactus_01c, -1012.651, 757.2423, 170.3826, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
prop_cactus_01c, -1308.885, 619.2897, 133.7988, -0.01517799, 0.01320099, -0.6561117, 0.7543957, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_strm_1.ymap
prop_cactus_01c, -360.1531, 6248.049, 30.41499, 0, 0, -0.1736479, 0.9848078, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01c, -383.6441, 6192.756, 30.53212, 0, 0, 0.9238797, -0.3826829, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01c, -391.0444, 6254.059, 30.38139, 0, 0, 0.3826829, 0.9238797, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01c, -338.0319, 6226.132, 30.45236, 0, 0, -0.1736479, 0.9848078, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_cactus_01c, 385.584, 3480.751, 33.49454, 0, 0, 0.9065754, 0.4220438, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_strm_0.ymap
prop_cactus_01c, 443.4165, 3494.936, 33.34499, 0, 0, -0.3739392, 0.9274532, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_strm_0.ymap
prop_cactus_01c, 400.3484, 3562.518, 32.30051, 0, 0, -0.2636101, 0.9646293, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_strm_1.ymap
prop_cactus_01c, 483.79, 3562.353, 32.32185, 0, 0, 0.1487719, 0.9888715, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_strm_2.ymap
prop_cactus_01c, 1006.916, 3621.12, 31.45393, 0, 0, -0.2636101, 0.9646293, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_03_strm_3.ymap
prop_cactus_01c, 2562.719, 4178.349, 39.16543, -0.003862001, -0.028954, 0.8045272, 0.5931971, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_2.ymap
prop_cactus_01c, 2546.283, 4163.573, 39.1303, 0.014118, -0.025572, 0.9995719, -0.001706, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_2.ymap
prop_cactus_01c, 2697.276, 4360.669, 44.6832, 0.003609001, 0.02898701, 0.9613202, 0.2738801, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 2663.404, 4258.708, 43.72073, 0.02751799, -0.009797998, 0.7475048, -0.6636139, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 2610.973, 4256.586, 42.02637, 0.010659, -0.027196, 0.991243, 0.128779, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 2594.777, 4215.959, 41.41187, -0.02911601, 0.002341001, -0.5502782, 0.8344703, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 2667.011, 4267.895, 43.55502, 0.005274, -0.02873, 0.9484589, 0.315551, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 2666.151, 4217.813, 42.76275, 0.02715901, -0.010752, 0.7702092, -0.6371222, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 2683.66, 4233.464, 43.96592, -0.02919899, 0.0008149996, -0.5058518, 0.8621257, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_strm_3.ymap
prop_cactus_01c, 1117.854, 3249.918, 37.23647, -0.04490701, -0.011661, 0.9832752, 0.176117, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_0.ymap
prop_cactus_01c, 1131.646, 3252.294, 37.18816, -0.04490701, -0.011661, 0.9832752, 0.176117, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_0.ymap
prop_cactus_01c, 1145.247, 3276.353, 37.6264, -0.013851, -0.04428001, 0.3704971, 0.9276742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_0.ymap
prop_cactus_01c, 1135.747, 3275.18, 37.25555, -0.04490701, -0.011661, 0.9832752, 0.176117, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_0.ymap
prop_cactus_01c, 1125.89, 3348.935, 33.47366, -0.04490701, -0.011661, 0.9832752, 0.176117, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_1.ymap
prop_cactus_01c, 1250.531, 3303.218, 36.8742, -0.04490701, -0.011661, 0.9832752, 0.176117, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1260.031, 3304.391, 36.68426, -0.013851, -0.04428001, 0.3704971, 0.9276742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1182.216, 3299.775, 37.32003, -0.03845702, -0.02595501, 0.8684294, 0.4936372, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1177.99, 3287.553, 37.99291, -0.013851, -0.04428001, 0.3704971, 0.9276742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1191.484, 3287.553, 37.1809, -0.013851, -0.04428001, 0.3704971, 0.9276742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1194.855, 3289.409, 37.04632, -0.04490701, -0.011661, 0.9832752, 0.176117, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1204.355, 3290.582, 37.01977, -0.013851, -0.04428001, 0.3704971, 0.9276742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1300.584, 3314.844, 36.16354, -0.013851, -0.04428001, 0.3704971, 0.9276742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1194.815, 3327.944, 39.39845, -0.02474201, -0.03924801, 0.5959771, 0.80166, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1357.457, 3333.757, 36.08789, -0.04299802, -0.01743001, 0.9518214, 0.3031231, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1387.157, 3346.083, 36.29559, -0.04299802, -0.01743001, 0.9518214, 0.3031231, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1390.673, 3340.754, 36.49862, -0.04299802, -0.01743001, 0.9518214, 0.3031231, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_2.ymap
prop_cactus_01c, 1524, 3465.905, 36.16055, -0.02601402, 0.01723901, 0.7240413, -0.6890504, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1530.067, 3502.783, 35.37393, 0.007229, 0.03671, 0.9119079, -0.408686, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1503.841, 3402.015, 36.32995, -0.01889201, -0.04151803, 0.3178762, 0.9470344, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1500.289, 3404.809, 36.60479, -0.01836101, -0.04946802, 0.2739571, 0.9602934, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1549.731, 3423.651, 36.07546, -0.05075698, -0.01996899, -0.3513139, 0.9346676, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1589, 3448.039, 35.90942, 0.04895001, 0.019008, -0.07033801, 0.9961401, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1595.674, 3443.546, 36.32491, 0.042359, 0.050715, 0.734258, -0.6756471, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1593.342, 3443.562, 36.22842, 0.002631999, 0.05883498, -0.05606498, 0.9966887, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1629.61, 3463.178, 36.04879, -0.04136803, 0.03108902, 0.7086724, 0.7036374, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1665.846, 3469.474, 35.5913, 0.03884401, 0.04959501, 0.140609, 0.988059, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1666.75, 3473.276, 35.73476, 0.04720999, -0.03520999, 0.8562629, -0.5131719, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_3.ymap
prop_cactus_01c, 1597.155, 3343.107, 38.02898, -0.009971003, 0.02552801, 0.9311172, 0.3636891, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_12_critical_4.ymap
