ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_joshua_tree_01e, 1049.849, -503.8849, 62.90377, 0, 0, 0.9847794, 0.1738091, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_long_0.ymap
prop_joshua_tree_01e, -1088.159, 471.3667, 84.03416, 0, 0, 0.302315, 0.9532081, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_long_0.ymap
prop_joshua_tree_01e, -1074.447, 460.045, 80.28467, 0.08414801, -0.0227, -0.4966411, 0.863569, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_long_0.ymap
prop_joshua_tree_01e, -1059.288, 478.7107, 81.27443, 0, 0, 0.8424835, -0.5387223, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_long_0.ymap
prop_joshua_tree_01e, -1057.506, 486.3128, 84.03416, 0, 0, 0.6440802, 0.7649581, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_0.ymap
prop_joshua_tree_01e, -1067.868, 466.5462, 80.31281, 0, 0, 0.924524, 0.381124, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_12_strm_0.ymap
prop_joshua_tree_01e, 2746.878, 3514.923, 51.84529, 0, 0, 0.03329299, 0.9994456, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2771.11, 3425.561, 54.99782, 0, 0, 0.9881548, -0.153461, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2719.257, 3526.941, 50.10372, 0, 0, 0.02964601, 0.9995604, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2846.541, 3641.83, 50.8691, -0.011343, 0.06616399, 0.7088518, 0.7021558, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2845.469, 3623.245, 51.82932, 0.011094, 0.004373998, -0.3829198, 0.9237046, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2826.754, 3590.252, 52.7317, 0.003398, 0.017899, -0.14347, 0.9894869, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2831.367, 3587.813, 53.04626, 0, 0, 0, 1, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2748.791, 3365.54, 55.2063, 0, 0, 0.8870111, -0.4617481, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 2645.183, 3352.42, 55.32213, 0, 0, 0.9935719, 0.113203, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_4.ymap
prop_joshua_tree_01e, 532.9846, 2704.567, 41.15485, 0, 0, 0.760412, 0.649441, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_13_long_1.ymap
prop_joshua_tree_01e, 284.4147, 2611.384, 43.68974, 0, 0, 0, 1, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_01_long_0.ymap
prop_joshua_tree_01e, 248.9166, 2725.338, 42.39267, 0, 0, 0.2984159, 0.9544359, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_10_long_1.ymap
prop_joshua_tree_01e, 2746.878, 3514.923, 51.84529, 0, 0, 0.03329299, 0.9994456, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2771.11, 3425.561, 54.99782, 0, 0, 0.9881548, -0.153461, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2719.257, 3526.941, 50.10372, 0, 0, 0.02964601, 0.9995604, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2846.541, 3641.83, 50.8691, -0.011343, 0.06616399, 0.7088518, 0.7021558, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2845.469, 3623.245, 51.82932, 0.011094, 0.004373998, -0.3829198, 0.9237046, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2826.754, 3590.252, 52.7317, 0.003398, 0.017899, -0.14347, 0.9894869, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2831.367, 3587.813, 53.04626, 0, 0, 0, 1, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2748.791, 3365.54, 55.2063, 0, 0, 0.8870111, -0.4617481, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
prop_joshua_tree_01e, 2645.183, 3352.42, 55.32213, 0, 0, 0.9935719, 0.113203, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_02_long_4.ymap
