ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_fan_03_c, -370.045, -765.7424, 32.16647, 0.015217, -0.03842, 0.5256981, 0.849667, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -367.778, -717.2388, 33.10077, 0.003690998, -0.06056499, 0.59996, 0.7977257, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -369.9621, -730.5771, 32.2289, -0.02785401, -0.012925, 0.9066753, -0.4207101, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -254.4795, -558.6893, 26.74947, -0.022831, -0.020534, 0.990241, -0.135941, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -370.045, -812.9508, 32.16647, -0.03054899, -0.003109999, 0.7193528, -0.6939658, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -369.5569, -896.8434, 34.41614, -0.03708202, -0.05038802, -0.2302671, 0.9711143, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -368.6894, -906.7386, 33.21107, -0.03054899, -0.003109999, 0.7193528, -0.6939658, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, -367.5807, -1106.369, 23.60179, -0.03054899, -0.003109999, 0.7193528, -0.6939658, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_c, 386.9775, -657.2428, 27.44572, -0.05662901, 0.001822, 0.9923661, -0.109542, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_palm_fan_03_c, 386.8362, -658.4791, 27.11352, 0, -0.03681002, 0, 0.9993223, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_palm_fan_03_c, 216.7113, -131.8301, 63.31866, 0, 0, 0.7307661, -0.6826281, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_palm_fan_03_c, 212.7956, -142.5884, 62.93976, 0, 0, 0.9798204, 0.1998801, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_palm_fan_03_c, 237.9075, -91.14554, 68.75665, 0.05395702, -0.02846101, 0.3067621, 0.9498293, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_palm_fan_03_c, 237.4855, -91.66919, 68.75665, 0, 0, 0.7307661, -0.6826281, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
