ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_fan_04_d, -95.64984, -409.8021, 35.40454, 0.006028999, 0.009272998, 0.9907038, 0.135587, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_palm_fan_04_d, -86.42972, -414.0807, 35.56172, 0.01072701, 0.002697002, 0.8184774, -0.5744323, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_palm_fan_04_d, -98.26511, -399.9435, 35.42015, 0.01072701, 0.002697002, 0.8184774, -0.5744323, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_palm_fan_04_d, 867.0458, -278.162, 64.68179, -0.02130099, -0.004828, -0.6337838, 0.7732018, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_palm_fan_04_d, 870.6387, -260.2772, 66.39445, -0.01556499, 0.007632997, 0.3020809, 0.9531246, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_palm_fan_04_d, 846.3995, -298.3228, 64.96786, -0.02731899, 0.002676999, 0.3416349, 0.9394318, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_palm_fan_04_d, 833.291, -294.3278, 65.34634, 0.033347, 0.020435, -0.003422001, 0.9992291, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_palm_fan_04_d, 772.4542, -305.4886, 59.18973, 0.014047, -0.03650099, 0.9832736, -0.1778859, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_palm_fan_04_d, 896.4003, -279.9715, 64.88092, 0.03270199, 0.02145199, -0.03419399, 0.9986497, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_1.ymap
prop_palm_fan_04_d, -1930.707, -538.7229, 8.511753, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_0.ymap
prop_palm_fan_04_d, -1458.889, -954.4009, 7.17012, 0, 0, 0.08715597, 0.9961947, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_1.ymap
prop_palm_fan_04_d, -1878.733, -634.7881, 10.15047, 0, 0, 0.7518398, -0.6593458, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_0.ymap
prop_palm_fan_04_d, -1905.802, -609.5074, 10.2438, 0, 0, 0.7518398, -0.6593458, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_0.ymap
prop_palm_fan_04_d, -2385.141, -288.4496, 13.27291, 0, 0, 0.997564, -0.069757, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_palm_fan_04_d, -2341.083, -321.8631, 11.31912, 0, 0, 0.997564, -0.069757, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_palm_fan_04_d, 1437.123, 1063.037, 112.7176, 0.011322, 0.004123001, 0.024949, 0.9996161, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03c_critical_0.ymap
prop_palm_fan_04_d, 1442.926, 1041.08, 112.8026, 0, 0, 0.7660441, 0.642788, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03c_critical_0.ymap
