ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_med_01d, -2054.181, -199.6774, 22.16544, -0.03628501, 0.011388, 0.007017001, 0.999252, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -1984.906, -153.6732, 29.64914, -0.016811, 0, 0, 0.9998587, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2091.936, -223.7115, 18.64128, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2050.051, -162.2044, 24.30411, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2097.134, -184.3516, 20.47359, 0.02875701, 0, 0, 0.9995865, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2128.565, -268.387, 13.62357, 0.007335997, 0.011683, 0.006512998, 0.9998837, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2169.201, -276.3323, 11.5973, 0, -0.002505, 0, 0.9999968, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2148.687, -235.727, 14.75907, 0.01824901, 0.01886901, -0.6949756, 0.7185542, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_0.ymap
prop_palm_med_01d, -2948.762, 729.943, 28.45715, 0.03659099, 0.02760099, 0.9958727, 0.07833797, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_1.ymap
prop_palm_med_01d, -2938.6, 678.1675, 27.71704, -0.000129, -3.3E-05, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_1.ymap
