ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_sm_01d, 216.8416, 41.7389, 82.69037, 0, 0, 0.902178, 0.431364, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_long_0.ymap
prop_palm_sm_01d, -12.86176, -476.1862, 34.95872, 0, 0, 0.9623784, 0.2717131, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 61.53347, -69.8912, 61.39959, 0.019766, -0.05777898, -0.019412, 0.997945, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 123.4226, -74.31973, 66.80191, -0.05069402, -0.03404702, 0.9589165, 0.2770381, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 123.687, -72.43402, 66.80191, -0.05992099, 0.011772, 0.8739519, -0.4821609, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 111.7691, -105.7783, 59.54897, -0.05858599, -0.017227, 0.9978419, -0.024136, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 144.3757, -98.51782, 59.69545, -0.02924499, -0.05360799, 0.7226478, 0.6885138, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 153.0157, -56.84058, 67.59625, 0.040372, -0.045816, -0.399832, 0.914552, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 209.274, -116.8179, 66.52579, -0.009147005, -0.06037703, 0.4435812, 0.8941514, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 223.882, -110.9376, 68.3588, -0.009147005, -0.06037703, 0.4435812, 0.8941514, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 197.5683, -99.94879, 68.3588, -0.05992099, 0.011772, 0.8739519, -0.4821609, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 197.3039, -101.8345, 68.3588, -0.05069402, -0.03404702, 0.9589165, 0.2770381, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 236.2872, -156.0334, 58.04385, -0.02446201, -0.05595202, 0.6598892, 0.7488773, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 236.5167, -154.2225, 57.37186, -0.0521, -0.06550899, -0.4077109, 0.9092667, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, -48.59961, -55.39014, 62.47493, -0.05786197, -0.01951999, 0.9980185, 0.01516799, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 18.73051, -24.91629, 68.92952, 0.03180301, -0.05213101, -0.2349471, 0.970088, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, -6.220718, -26.01785, 67.7926, -0.03320999, -0.05124598, 0.7725777, 0.6319768, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, -20.03583, -49.68066, 62.39655, -0.04401201, -0.04233202, 0.8962413, 0.4393432, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, -20.24751, 8.923096, 71.36201, 0.040372, -0.045816, -0.399832, 0.914552, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, -44.03705, -36.20547, 64.13423, -0.021998, -0.05696601, 0.6265961, 0.7769481, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 78.26862, -107.8845, 58.10013, 0.001477001, -0.06104804, 0.2815742, 0.9575943, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 58.55261, -85.13251, 61.55837, -0.05992099, 0.011772, 0.8739519, -0.4821609, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 51.27781, -18.94113, 67.95589, -0.06033298, -0.009431997, 0.9861547, -0.154175, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 23.96729, -87.2821, 60.58815, -0.05858599, -0.017227, 0.9978419, -0.024136, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 24.82495, -85.6189, 60.58815, -0.05992099, 0.011772, 0.8739519, -0.4821609, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 225.2464, -385.7286, 44.58855, -0.05868801, 0.016874, 0.8293101, -0.555442, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01d, 226.4887, -386.4629, 44.58855, -0.002824001, -0.06100103, 0.3482721, 0.9354023, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
