ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_pot_plant_03a, -114.9498, -598.1052, 35.26759, 0, 0, 0.7656233, 0.6432893, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -113.7557, -594.5961, 35.26759, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -110.0062, -590.8007, 35.2107, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -106.5782, -589.364, 35.24916, 0, 0, 0.7333882, 0.6798102, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -119.5067, -610.8662, 35.26759, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -120.816, -614.2502, 35.26759, 0, 0, 0.7745408, 0.6325238, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -120.4663, -619.7491, 35.26759, 0, 0, 0.9239024, 0.3826282, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -118.9408, -623.0329, 35.26759, 0, 0, 0.834206, 0.551453, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -118.7063, -641.2302, 39.48877, 0, 0, 0.834206, 0.551453, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -130.1546, -659.3752, 39.48877, 0, 0, 0.9815782, -0.191061, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -151.3239, -675.3794, 39.48877, 0, 0, 0.4306561, 0.9025161, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -164.7784, -667.9286, 39.48877, 0, 0, 0.9932294, 0.1161701, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -175.9782, -663.8241, 39.48877, 0, 0, 0.4414592, 0.8972813, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -217.1774, -627.1823, 39.48877, 0, 0, 0.281838, 0.959462, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -219.7068, -634.2232, 39.48877, 0, 0, 0.281838, 0.959462, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -209.4361, -598.0153, 39.48877, 0, 0, 0.281838, 0.959462, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -201.2113, -575.2314, 39.48877, 0, 0, 0.281838, 0.959462, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -218.3152, -615.2711, 39.48877, 0, 0, 0.9708138, -0.2398349, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -188.1354, -565.2968, 39.48877, 0, 0, 0.9708138, -0.2398349, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -180.5736, -563.985, 39.48877, 0, 0, 0.03847902, 0.9992594, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -123.8004, -553.9307, 39.48877, 0, 0, 0.03847902, 0.9992594, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -116.3736, -552.6246, 39.48877, 0, 0, -0.1613371, 0.9868994, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -103.4956, -554.3528, 39.48877, 0, 0, 0.9579468, 0.2869459, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -98.65985, -560.0285, 39.48877, 0, 0, -0.2149171, 0.9766323, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -94.72598, -575.8716, 39.48877, 0, 0, 0.890989, -0.454025, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -133.6487, -666.7064, 47.21991, 0, 0, 0.890989, -0.454025, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -162.1815, -561.0907, 47.21991, 0, 0, 0.890989, -0.454025, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -194.9195, -659.4951, 39.48877, 0, 0, 0.4414592, 0.8972813, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_02_strm_0.ymap
prop_pot_plant_03a, -282.5845, -791.9404, 32.00408, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_strm_0.ymap
prop_pot_plant_03a, -284.1869, -796.5211, 32.00375, 0, 0, 0.9396927, -0.3420199, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_strm_0.ymap
prop_pot_plant_03a, 245.5543, -1073.887, 28.29416, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 241.2918, -1074.042, 28.29416, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 232.1413, -1097.162, 28.29416, 0, 0, -0.6755903, 0.7372773, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 232.2717, -1092.882, 28.29416, 0, 0, -0.6755903, 0.7372773, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 281.2775, -1069.063, 28.41866, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 275.8303, -1069.054, 28.41866, 0, 0, 0.7933535, -0.6087614, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 290.5714, -1092.248, 28.41866, 0, 0, -0.130526, 0.9914449, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 290.5466, -1097.718, 28.41866, 0, 0, 0.7071068, 0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 240.5015, -1115.955, 28.3191, 0, 0, 0.9998478, -0.017453, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 244.7669, -1115.948, 28.33224, 0, 0, 0.9998478, -0.017453, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 281.603, -1120.312, 28.41866, 0, 0, 0.7071068, 0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 276.0038, -1120.312, 28.41866, 0, 0, 0.7071068, 0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_pot_plant_03a, 400.1485, -339.0316, 45.97317, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_25_strm_0.ymap
prop_pot_plant_03a, 403.8736, -340.3729, 45.97317, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_25_strm_0.ymap
prop_pot_plant_03a, 1177.293, -396.3376, 66.95793, 0, 0.02512801, 0, 0.9996842, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_c_strm_1.ymap
prop_pot_plant_03a, 1168.297, -428.1243, 66.0606, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_c_strm_1.ymap
prop_pot_plant_03a, 1198.97, -500.7386, 64.2652, -0.02166499, -0.01956999, -0.0004239999, 0.9995736, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_c_strm_2.ymap
prop_pot_plant_03a, 1200.266, -502.3854, 64.15146, 0.004107999, -0.003764999, 0.7372658, -0.6755798, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_c_strm_2.ymap
