ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_birch_02, -1853.41, 2021.015, 135.5041, 0, 0, 0.97237, 0.233445, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -1831.042, 2023.798, 131.0424, 0, 0, 0.9902681, 0.139173, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -1863.557, 1979.135, 141.0133, 0, 0, 0.284015, 0.9588199, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -1779.433, 1861.212, 150.312, 0, 0, 0.636078, 0.7716248, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -1764.471, 1876.238, 152.9458, 0, 0, 0.9702958, -0.2419219, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -1787.349, 1886.776, 147.2254, 0, 0, 0.9993909, -0.0349, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -1705.622, 2108.28, 108.2953, 0, 0, 0.9304178, -0.3665009, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_02, -2556.773, 1923.127, 164.2857, 0.05021002, 0.01237801, 0.9373294, -0.3445861, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_tree_birch_02, -1691.297, 2141.546, 105.8856, -0.04361901, 0, 0, 0.9990482, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_02, -1713.44, 2224.787, 85.88566, 0.003802002, 0.04345303, 0.9952466, -0.08707305, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_02, -1828.86, 2044.265, 131.7321, 0, 0, 0.4219631, 0.906613, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
