ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_cedar_03, 1246.859, -2644.279, 30.5872, 0, 0, 0.8740605, -0.4858173, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_03, 1247.381, -2637.373, 34.04544, 0.012471, -0.08336699, 0.9060249, -0.4147449, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_03, 1233.836, -2644.874, 29.84736, 0.02466801, -0.04438201, 0.8729331, -0.4851901, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_03, 251.4848, 1067.874, 218.7213, 0, 0, 0.9612619, 0.275637, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_cedar_03, 290.9059, 1056.266, 211.5029, 0, 0, 0.5000003, 0.8660253, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_cedar_03, 293.7857, 1028.641, 210.1561, 0, 0, 0.017453, 0.9998477, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_cedar_03, -367.0465, 1667.207, 274.7103, -0.03179, 0.07318401, 0.5580211, 0.8259819, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -377.9222, 1670.399, 281.7895, 0.02546699, 0.01869999, 0.3858828, 0.9220066, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -360.5965, 1703.53, 264.8061, -0.02042199, 0.01740699, 0.7873737, 0.6158917, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -357.8376, 1709.449, 261.2726, -0.020617, 0.010032, -0.020204, 0.9995329, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -372.8382, 1665.817, 278.5818, -0.04737101, -0.04434401, 0.728511, -0.6819541, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -350.4669, 1696.333, 259.0543, -0.03454801, 0.04309502, 0.3566312, 0.9326111, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -366.5929, 1697.054, 270.3156, 0, 0, 0.9136414, -0.4065212, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -378.4201, 1673.38, 281.8117, 0.00478, -0.011956, 0.142799, 0.989668, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -352.2338, 1657.437, 269.5648, 0, 0, 0.7132508, -0.7009088, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -355.743, 1741.697, 250.5689, -0.020617, 0.010032, -0.020204, 0.9995329, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
prop_tree_cedar_03, -303.0766, 1722.175, 226.9608, 5.900001E-05, 0.015297, -0.07375301, 0.9971592, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_critical_0.ymap
