ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_cedar_s_02, 1202.506, -2630.23, 20.10385, -0.09297705, 0.04597502, 0.7918234, 0.6018783, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, 1208.888, -2629.774, 27.92309, -0.07384096, -0.06616497, 0.9010326, -0.4222678, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, 1206.755, -2629.763, 25.26852, -0.2054721, -0.137364, 0.7907882, -0.5599701, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, 1238.382, -2658.489, 17.51056, -0.123395, 0.2160149, -0.5837588, 0.7728758, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, 1234.871, -2651.927, 25.23633, -0.05307302, -0.05721302, 0.6902701, 0.719331, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, 1239.651, -2638.208, 33.82475, 0.04215001, -0.005840001, -0.07584502, 0.9962112, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, 1241.092, -2633.35, 35.94609, 0.05159902, -0.01693201, -0.2330921, 0.9709371, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_tree_cedar_s_02, -2423.941, 1775.673, 173.7902, 0.014898, -0.029932, 0.63212, 0.7741489, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2401.315, 1719.729, 201.1484, 0.004948999, -0.07970297, 0.9696996, -0.2308799, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2404.25, 1757.678, 184.0927, -0.07619799, -0.06377299, 0.9086919, -0.40547, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2378.411, 1788.38, 211.8224, 0.01709801, 0.001443, 0.5434762, 0.8392493, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2382.741, 1801.6, 211.9912, 0.04427598, -0.03413099, 0.9805825, 0.1879699, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2389.579, 1767.434, 197.0993, 0.024076, 0.07715501, -0.5769001, 0.8128061, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2389.171, 1808.238, 206.8651, 0, 0, 0.9558756, -0.2937722, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2401.829, 1787.258, 190.1164, 0, 0, 0.9029451, -0.4297561, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2410.892, 1775.142, 181.5795, 0.04146602, -0.004355001, -0.3068711, 0.9508374, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2388.774, 1816.632, 209.7805, -0.051052, -0.052107, 0.895434, -0.439177, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2388.767, 1805.307, 206.0413, 0, 0, 0.9327233, 0.3605931, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2364.86, 1729.823, 209.3083, 0.042098, 0.04998399, 0.116027, 0.9910939, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2327.391, 1709.005, 228.584, 0, 0, 0.9335263, -0.3585091, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2342.264, 1748.515, 216.9121, 0.03348899, 0.01711399, 0.6272857, 0.7778806, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2352.941, 1741.541, 208.0906, 0, 0, 0.8985579, -0.4388549, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2362.81, 1751.469, 204.6566, -0.019249, 0.015894, 0.623259, 0.781617, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_cedar_s_02, -2377.687, 1716.33, 213.616, 0.008645, 0.113226, 0.987128, 0.112621, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
