ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_jacada_01, 126.904, -691.8046, 41.10385, 0, 0, 0.5501432, 0.8350704, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_jacada_01, 148.4882, -684.0371, 41.13078, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_jacada_01, 1004.575, 486.7925, 97.58106, 0, 0, -0.5054771, 0.86284, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_2.ymap
prop_tree_jacada_01, 924.9036, 511.5274, 119.5536, 0, 0, 0.9712406, -0.2380999, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_2.ymap
prop_tree_jacada_01, -1433.336, 488.4867, 111.1214, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_tree_jacada_01, -942.8375, 431.9734, 78.77534, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_tree_jacada_01, -904.3728, 441.9508, 83.20464, -0.010437, -0.02619701, 0.9286164, 0.3699682, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_tree_jacada_01, -838.7386, 396.153, 89.63623, 0, 0, 0.9940495, 0.10893, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_tree_jacada_01, -841.3942, 426.6297, 89.47731, 0, 0, 0.5912584, 0.8064823, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_tree_jacada_01, -528.109, 649.3973, 138.6605, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_1.ymap
prop_tree_jacada_01, -527.0055, 537.0709, 110.4294, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_0.ymap
prop_tree_jacada_01, -450.1742, 663.6608, 150.451, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_0.ymap
prop_tree_jacada_01, 2467.149, 4602.147, 35.4386, 0, 0, 0.8382793, -0.5452412, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_04_critical_0.ymap
prop_tree_jacada_01, 126.904, -691.8046, 41.10385, 0, 0, 0.5501432, 0.8350704, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\hei_dt1_rd1_critical_1.ymap
prop_tree_jacada_01, 148.4882, -684.0371, 41.13078, 0, 0, 0, 1, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\hei_dt1_rd1_critical_1.ymap
prop_tree_jacada_01, 1004.575, 486.7925, 97.58106, 0, 0, -0.5054771, 0.86284, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_04_critical_2.ymap
prop_tree_jacada_01, 924.9036, 511.5274, 119.5536, 0, 0, 0.9712406, -0.2380999, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_04_critical_2.ymap
prop_tree_jacada_01, -1433.336, 488.4867, 111.1214, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roads_critical_0.ymap
prop_tree_jacada_01, -942.8375, 431.9734, 78.77534, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roads_critical_0.ymap
prop_tree_jacada_01, -904.3728, 441.9508, 83.20464, -0.010437, -0.02619701, 0.9286164, 0.3699682, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roads_critical_0.ymap
prop_tree_jacada_01, -838.7386, 396.153, 89.63623, 0, 0, 0.9940495, 0.10893, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roads_critical_0.ymap
prop_tree_jacada_01, -841.3942, 426.6297, 89.47731, 0, 0, 0.5912584, 0.8064823, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roads_critical_0.ymap
prop_tree_jacada_01, -528.109, 649.3973, 138.6605, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roads_critical_1.ymap
prop_tree_jacada_01, -527.0055, 537.0709, 110.4294, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roadsa_critical_0.ymap
prop_tree_jacada_01, -450.1742, 663.6608, 150.451, 0, 0, 0, 1, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_roadsa_critical_0.ymap
prop_tree_jacada_01, 126.904, -691.8046, 41.10385, 0, 0, 0.5501432, 0.8350704, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\hei_dt1_rd1_critical_1.ymap
prop_tree_jacada_01, 148.4882, -684.0371, 41.13078, 0, 0, 0, 1, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\hei_dt1_rd1_critical_1.ymap
