ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_log_02, -98.9268, 1066.485, 227.9151, -0.2634189, -0.121854, -0.4017709, 0.8685288, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_log_02, 18.59639, 1066.877, 222.0273, -0.03002001, -0.23599, 0.03812501, 0.9705431, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_log_02, 1379.204, 1107.42, 113.3077, -0.019063, 0.009421002, 0.4429401, 0.896299, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_log_02, 1492.915, 996.66, 109.151, 0.116736, 0.05136799, 0.7938988, -0.5945239, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_2.ymap
prop_tree_log_02, 1495.456, 1012.962, 111.5527, -0.022218, -0.091102, 0.9472169, 0.306573, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_2.ymap
prop_tree_log_02, 1485.904, 1020.815, 112.3829, 0.04821798, -0.04554199, 0.9859576, -0.1532599, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_2.ymap
prop_tree_log_02, -365.5513, 516.3992, 118.6459, -0.015501, 0.03886199, -0.3701639, 0.9280238, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_critical_0.ymap
prop_tree_log_02, 2378.085, 2655.195, 45.48289, -0.017635, 0.026132, 0.9717791, -0.233777, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
prop_tree_log_02, 2375.974, 2594.959, 45.52248, -0.02577001, 0.02817101, 0.4536451, 0.8903642, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
prop_tree_log_02, 2394.563, 2567.159, 45.23303, -0.01657899, 0.02058899, 0.7786167, 0.6269428, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
