ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_maple_02, -25.91821, -1878.8, 23.44657, 0, 0, 0.5547333, 0.8320283, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_0.ymap
prop_tree_maple_02, 251.2479, -1928.285, 23.90824, 0, 0, 0.870463, -0.492234, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 258.5463, -1951.736, 23.05507, 0, 0, 0.815985, -0.5780731, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 269.3312, -1973.788, 20.1942, 0, 0, 0.9902557, -0.139262, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 108.4587, -1882.894, 22.88992, 0, 0, -0.6668813, 0.745164, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 88.49905, -1891.976, 22.57414, 0, 0, 0.9272993, 0.3743211, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 180.7595, -1884.368, 23.28913, 0, 0, 0.9811805, 0.1930931, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 123.4452, -1936.615, 19.75823, 0, 0, -0.275943, 0.961174, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 466.7882, -1789.127, 27.70172, 0.1215269, -0.08213796, -0.6916716, 0.7071597, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
prop_tree_maple_02, 491.8542, -1726.276, 28.24277, -0.03877399, -0.107891, 0.5302839, 0.8400328, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_2.ymap
