ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_mquite_01, 915.6503, -1103.936, 24.84408, -0.20087, 0, 0, 0.9796179, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_critical_0.ymap
prop_tree_mquite_01, 885.7538, -1103.453, 24.29205, -0.17503, 0.020927, -0.127494, 0.9760491, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_critical_0.ymap
prop_tree_mquite_01, -917.2799, -2361.887, 5.762894, 0, 0, -0.1836751, 0.982987, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_03_critical_0.ymap
prop_tree_mquite_01, -914.8557, -2351.358, 5.732887, 0, 0, -0.2284762, 0.9735495, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_03_critical_0.ymap
prop_tree_mquite_01, -933.7762, -2353.413, 5.722885, 0, 0, 0.258819, 0.9659258, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_03_critical_0.ymap
prop_tree_mquite_01, -2349.035, 2323.94, 15.61274, 0, 0, -0.3515059, 0.9361857, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2199.746, 2464.807, 3.292542, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2100.255, 2508.274, 1.764496, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2362.151, 2291.034, 25.85991, 0, 0, -0.4864042, 0.873734, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2361.32, 2277.229, 29.19803, 0, 0, -0.4864042, 0.873734, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2389.497, 2330.605, 23.06873, -0.002469999, -0.002398999, -0.6966627, 0.7173906, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2392.336, 2356.29, 21.68187, -0.06253799, -0.05742199, -0.6738929, 0.7339348, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2383.433, 2349.318, 19.8177, 0.08037498, 0.109885, 0.7996158, -0.5848759, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2403.825, 2313.654, 27.36337, 0, 0, -0.3515059, 0.9361857, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2400.5, 2324.43, 26.79426, 0, 0, -0.3515059, 0.9361857, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2405.96, 2357.563, 25.31977, -0.116901, -0.04875, -0.381791, 0.915529, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2378.933, 2346.295, 18.87949, 0.05666501, 0.016076, 0.8748882, -0.4807301, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2181.75, 2360.893, 21.05697, 0, 0, 0.8680357, -0.4965019, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2189.783, 2326.091, 30.3391, 0, 0, 0.8680357, -0.4965019, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2182.809, 2341.938, 26.17928, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2169.29, 2388.65, 7.153267, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2200.512, 2377.318, 17.34617, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2638.085, 2502.423, 2.345886, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2602.593, 2387.997, 6.32127, 0, 0, -0.061049, 0.9981348, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2595.372, 2377.218, 9.656185, 0, 0, 0.8987941, -0.4383711, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2583.252, 2370.304, 13.62886, 0.147015, 0.09916297, 0.5503309, 0.8158978, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2613.256, 2402.594, 3.624989, 0, 0, 0.7880107, 0.6156617, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2548.635, 2367.696, 17.94107, 0, 0, 0.5591933, 0.8290374, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2528.586, 2388.384, 18.3495, 0, 0, 0.5591933, 0.8290374, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2537.111, 2452.974, 0.939453, 0, 0, 0.9557476, 0.2941882, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2304.144, 2517.396, 1.724945, 0, 0, 0.008727001, 0.9999619, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2678.238, 2300.402, 19.78913, 0, 0, 0.7880107, 0.6156617, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2595.36, 2307.492, 28.49589, 0, 0, 0.4287704, 0.9034135, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2444.24, 2313.054, 29.85251, 0, 0, -0.3515059, 0.9361857, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2411.407, 2469.874, 1.776672, 0, 0, 0.4428339, 0.8966037, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2245.644, 2550.927, 1.724945, -0.04138098, -0.006741997, 0.8596746, 0.5091187, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2269.216, 2434.406, 2.896362, 0, 0, 0.8870107, -0.4617488, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2262.204, 2433.925, 3.609192, 0, 0, 0.4886493, 0.8724803, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -1936.648, 2543.841, 1.776672, 0, 0, 0.4428339, 0.8966037, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -1997.434, 2523.388, 1.776672, 0, 0, 0.4428339, 0.8966037, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -1982.763, 2471.283, 1.856445, 0, 0, -0.06479703, 0.9978985, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -1980.243, 2461.396, 1.302979, 0, 0, 0.888243, -0.459374, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2460.527, 2441.289, 1.562988, 0, 0, 0.9557476, 0.2941882, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2159.495, 2443.944, 1.784576, 0, 0, -0.4617487, 0.8870108, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2264.407, 2520.438, 2.109741, 0, 0, 0.936672, -0.350208, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2258.833, 2518.554, 1.724945, -0.026529, 0.032466, 0.8707469, -0.4899409, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2086.441, 2533.985, 1.645996, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -2174.53, 2501.927, 3.284698, 0, 0, -0.07609396, 0.9971007, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_critical_0.ymap
prop_tree_mquite_01, -1053.609, 2076.57, 93.53195, 0, 0, -0.63597, 0.7717139, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1023.38, 2124.838, 95.57741, -0.002737999, 0.05210998, 0.05240498, 0.9972616, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -921.145, 1921.605, 134.9529, -0.2295219, -0.103261, 0.9367216, -0.2433299, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1037.605, 1881.292, 151.2275, 0.131781, -0.024679, 0.8069168, 0.5752479, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1226.277, 2153.478, 81.3295, 0.08395101, 0.04308901, 0.05365201, 0.994091, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1223.54, 2112.992, 85.34999, 0.109929, 0.09411503, 0.9894015, -0.01195201, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1356.932, 2119.82, 65.48257, -0.08117497, -0.03085599, 0.9373477, 0.3373989, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1371.105, 2120.907, 57.19502, 0, 0, 0.9919025, 0.1270021, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1331.302, 1987.399, 74.03293, -0.03022701, -0.008210002, 0.8050952, 0.5923181, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
prop_tree_mquite_01, -1278.92, 1842.058, 113.6255, 0, 0, -0.08280202, 0.996566, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_01_critical_0.ymap
