ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_oak_01, 208.998, -375.0723, 43.183, 0, 0, 0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_tree_oak_01, 1224.682, -782.1522, 58.96492, 0.006210996, -0.04629799, 0.7259648, -0.6861438, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, 1231.209, -612.684, 68.52271, 0, 0, 0.2772761, 0.9607903, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, 1155.085, -550.032, 63.32068, 0, 0, -0.6329142, 0.774222, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, 981.0496, -599.2945, 58.10858, 0, 0, 0.9237587, 0.3829749, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, 882.1431, -471.1799, 58.36969, 0, 0, -0.2548741, 0.9669743, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, 889.265, -644.5059, 57.13754, 0, 0, 0.7365018, -0.6764357, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, 995.562, -748.4495, 56.68643, 0, 0, 0.9969174, 0.07845903, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_oak_01, -1189.487, 211.1382, 66.31606, -0.002858999, -0.03680099, 0.9963158, 0.077411, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1219.823, 204.4581, 64.55423, 0, 0, -0.6463382, 0.7630512, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1282.599, -28.86212, 47.15755, -0.006726001, -0.02849901, 0.8334172, 0.5518681, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1342.993, 159.3088, 56.53974, -0.03740301, 0.0009210002, -0.024593, 0.9989972, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1163.203, 164.9472, 62.52976, 0.017127, -0.017825, 0.7122269, -0.7015139, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1186.725, 128.3613, 60.25831, -0.07424396, -0.0002819998, 0.9148535, 0.3969018, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1284.943, 139.655, 57.25515, 0, 0, 0.9965856, 0.08256705, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1161.526, 63.52667, 54.92916, -0.038159, 0.023712, 0.484866, 0.8734338, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1155.947, -52.55222, 43.88908, 0, 0, 0.9570809, 0.289821, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1204.63, 27.45898, 49.24687, -0.02073899, -0.05357299, 0.8793027, -0.4727859, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -1285.009, 61.00479, 51.8926, 0, 0, 0.9570809, 0.289821, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_oak_01, -837.8087, 66.78946, 50.86823, -0.029152, 0.028358, 0.6967, 0.7162089, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_2.ymap
prop_tree_oak_01, -880.9558, 37.42368, 47.92329, 0, 0, 0.2855199, 0.9583728, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_2.ymap
prop_tree_oak_01, -997.6438, -92.89856, 40.45495, 0, 0, 0.9683921, 0.249433, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_2.ymap
prop_tree_oak_01, -968.6279, -104.0743, 39.20074, -0.04504798, -0.03641798, 0.9648015, 0.2565199, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_2.ymap
prop_tree_oak_01, -1073.549, -13.34891, 49.59527, 0.013487, -0.012726, 0.8055431, 0.5922471, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_2.ymap
prop_tree_oak_01, -1845.406, 39.37244, 77.3867, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_1.ymap
prop_tree_oak_01, -2095.027, 248.034, 124.0386, 0.0002400001, -0.02657001, -0.011023, 0.9995862, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_critical_0.ymap
prop_tree_oak_01, -2129.172, 404.7089, 132.7063, 0, -0.08414298, 0, 0.9964537, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06b_critical_0.ymap
prop_tree_oak_01, -1963.02, 445.947, 99.34848, 0, 0, 0.5577549, 0.8300058, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06e_critical_0.ymap
prop_tree_oak_01, -1870.914, 176.7666, 81.60262, -0.04786498, 0.009314995, -0.1908019, 0.9804167, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06f_critical_0.ymap
prop_tree_oak_01, -1922.949, 239.9023, 83.87141, 0, 0, 0.4974449, 0.8674957, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06f_critical_0.ymap
prop_tree_oak_01, -153.9633, 1471.755, 290.036, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_3.ymap
prop_tree_oak_01, -170.1075, 1448.245, 290.0997, 0, 0, -0.4226179, 0.9063079, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_3.ymap
prop_tree_oak_01, -201.8432, 1290.28, 304.6235, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_3.ymap
prop_tree_oak_01, 220.2075, 1095.097, 221.2342, 0, 0, 0.5299191, 0.8480482, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_oak_01, 1493.547, 1025.052, 112.6906, 0, 0, 0.8045122, -0.5939361, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_2.ymap
prop_tree_oak_01, 482.0604, 388.777, 138.2942, 0, 0, 0.7313536, 0.6819986, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_0.ymap
prop_tree_oak_01, 416.8794, 483.0483, 152.1108, -0.14135, -0.06181302, 0.7106223, 0.6864513, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_0.ymap
prop_tree_oak_01, 422.665, 408.1553, 134.9839, -0.077021, -0.018439, 0.232094, 0.9694638, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_0.ymap
prop_tree_oak_01, 274.3649, 468.0984, 135.6714, 0, 0, 0.6424558, 0.7663227, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_0.ymap
prop_tree_oak_01, -775.5469, 894.2896, 202.4076, 0, 0, -0.130526, 0.9914449, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_critical_0.ymap
prop_tree_oak_01, -859.0707, 876.4036, 200.3503, 0, 0, 0.2133481, 0.9769763, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_critical_0.ymap
prop_tree_oak_01, -874.3547, 834.4492, 200.9064, -0.05348101, -0.023246, 0.9155501, -0.397954, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_critical_0.ymap
prop_tree_oak_01, -1499.362, 901.2935, 180.6989, 0, 0, 0.9771261, -0.212661, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_critical_0.ymap
prop_tree_oak_01, -1527.833, 872.9415, 180.774, 0, 0, 0.9999698, -0.007779999, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_critical_0.ymap
prop_tree_oak_01, -1534.234, 819.8775, 180.6222, 0, 0, 0.155003, 0.987914, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_critical_0.ymap
