ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_pine_02, 1421.354, -611.5965, 75.14838, 0, 0, 0.5686049, 0.8226108, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 1258.523, -629.5228, 68.4889, 0, 0, 0.9991555, -0.04109202, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 994.9802, -575.1911, 59.1607, 0, 0, 0.5800231, 0.8146001, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 1128.819, -385.4821, 66.31263, 0, 0, 0.013878, 0.9999037, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 1110.103, -483.161, 63.70261, 0, 0, 0.013878, 0.9999037, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 1252.264, -418.5828, 67.76206, 0, 0, 0.9935209, -0.11365, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 1104.147, -316.9941, 65.9112, 0, 0, -0.087781, 0.9961398, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, 1095.34, -323.1782, 65.9112, 0, 0, 0.8389121, -0.5442671, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_critical_0.ymap
prop_tree_pine_02, -1558.239, -137.1769, 53.61234, 0, 0, 0.2770761, 0.960848, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_0.ymap
prop_tree_pine_02, -1202.572, -56.50381, 43.85796, 0.01466401, -0.02073401, 0.4574372, 0.8888792, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1193.89, -29.16235, 44.45913, 0, 0, 0.7228212, -0.6910352, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1202.213, -33.05276, 43.60726, 0, 0, 0.7228212, -0.6910352, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1182.773, -80.36688, 43.62344, 0, 0, 0.9703431, -0.241732, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1188.402, 11.39606, 47.78311, 0, 0, -0.048442, 0.998826, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1149.445, 171.2181, 61.94299, 0, 0, 0.8769651, 0.4805541, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1255.481, -9.86618, 46.09144, 0, 0, 0.3429229, 0.9393635, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1247.289, 170.9437, 57.65871, 0, 0, -0.3995662, 0.9167044, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1207.025, 164.8237, 61.23602, 0.01466401, -0.02073401, 0.4574372, 0.8888792, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1225.755, 164.6736, 59.29263, 0, 0, 0.9703431, -0.241732, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_pine_02, -1291.185, 407.7035, 71.99448, 0, 0, -0.1259681, 0.9920343, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
