ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_stump_01, 1103.659, -537.589, 58.09436, 0.06902003, -0.08936104, 0.7948464, -0.5962133, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_e_critical_0.ymap
prop_tree_stump_01, 1134.062, -556.5556, 57.27373, -0.05346302, -0.134685, 0.7952053, -0.5887702, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_e_critical_0.ymap
prop_tree_stump_01, -216.7205, -1600.656, 34.03866, -0.02788299, 0.06478599, 0.9162558, 0.3943359, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_critical_0.ymap
prop_tree_stump_01, -199.5427, -1641.047, 33.36102, 0.03316501, 0.01914701, 0.9162793, 0.3987052, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_critical_0.ymap
prop_tree_stump_01, -199.5427, -1641.697, 33.40435, -0.028271, 0.004341, -0.279124, 0.959829, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_critical_0.ymap
prop_tree_stump_01, -198.3888, -1666.699, 33.18272, 0.03316501, 0.01914701, 0.9162793, 0.3987052, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_critical_0.ymap
prop_tree_stump_01, -197.2967, -1685.515, 33.19342, 0.028977, -0.03575, 0.9160049, 0.3985189, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_critical_0.ymap
prop_tree_stump_01, 375.6849, -2019.442, 22.0252, 0, 0, 0.5000003, 0.8660253, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_33_critical_0.ymap
prop_tree_stump_01, -930.3484, 145.5929, 62.13182, 0, 0, -0.165048, 0.9862856, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_45_critical_0.ymap
prop_tree_stump_01, -936.4171, 148.275, 63.05714, 0, 0, 0.774393, -0.632705, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_45_critical_0.ymap
prop_tree_stump_01, -923.6949, 143.9915, 62.20134, 0, 0, 0.350208, 0.936672, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_45_critical_0.ymap
prop_tree_stump_01, -890.2108, 137.9264, 61.79276, 0, 0, -0.4146931, 0.9099613, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_45_critical_0.ymap
prop_tree_stump_01, -2038.644, 543.9205, 109.1841, 0, 0, 0.5877851, 0.8090171, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06b_critical_0.ymap
prop_tree_stump_01, -1945.657, 372.413, 92.56585, -0.012453, 0.08050597, 0.04119699, 0.9958245, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06e_critical_0.ymap
prop_tree_stump_01, -1943.298, 343.8789, 90.67937, -0.08680796, 0.01571999, -0.05152497, 0.9947675, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06e_critical_0.ymap
prop_tree_stump_01, -3192.957, 1237.968, 8.945177, -0.03119, 0.024775, 0.7675119, -0.639796, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_12_critical_0.ymap
prop_tree_stump_01, 282.0192, 1153.053, 221.2896, 0, 0, 0.9681476, 0.2503799, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03_critical_1.ymap
prop_tree_stump_01, 1458.106, 1516.708, 110.8781, 0.01559, -0.04383, -0.114471, 0.9923368, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1455.186, 1505.744, 111.5293, 0.023402, 0.032409, 0.8916161, -0.4510241, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1450.931, 1497.89, 112.0495, 0.036517, -0.007249, 0.875926, 0.481007, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1460.561, 1439.238, 106.7704, -0.006646999, -0.07456099, 0.6938919, 0.7161778, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1452.487, 1466.063, 110.8107, -0.05181499, 0.025567, -0.304145, 0.9508719, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1457.864, 1462.565, 110.2851, -0.05046198, -0.05390398, 0.7976177, 0.5986267, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1503.601, 1496.924, 104.9842, -0.009174002, -0.03484601, 0.5696212, 0.8211171, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1479.492, 1527.143, 107.8854, 0.01855299, -0.07421396, 0.5855517, 0.8070176, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1469.393, 1545.75, 109.0768, 0.010131, -0.018788, 0.4948381, 0.868723, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1479.113, 1546.301, 108.6936, 0.03375999, -0.002235999, 0.7898238, -0.6123999, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1503.573, 1478.72, 103.7799, 0.0001080005, -0.025584, 0.740079, 0.6720331, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1526.545, 1346.831, 95.42647, 0.038301, -0.040423, 0.748307, 0.661011, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1478.485, 1357.615, 111.085, 0.005334998, -0.09350196, -0.6165817, 0.7817007, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
prop_tree_stump_01, 1494.844, 1299.355, 111.5994, 0.09206199, 0.046522, 0.8027469, -0.5873309, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03b_critical_1.ymap
