ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_veg_crop_tr_02, 432.6393, -120.2833, 64.95851, -0.2125321, -0.04871503, 0.9081905, 0.3572772, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_veg_crop_tr_02, 448.4091, -97.56215, 67.93327, -0.2861219, -0.05932998, 0.9561467, 0.01994199, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_veg_crop_tr_02, 432.1849, -119.4908, 64.96565, -0.2134639, -0.027736, 0.7116658, -0.6687267, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_veg_crop_tr_02, 448.5227, -96.78595, 68.19316, 0.2028911, -0.02598601, -0.4520142, 0.8682414, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_veg_crop_tr_02, 533.5421, 19.17425, 92.07497, -0.2134639, -0.027736, 0.7116658, -0.6687267, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_veg_crop_tr_02, 533.9965, 18.38176, 92.06783, -0.2125321, -0.04871503, 0.9081905, 0.3572772, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_strm_0.ymap
prop_veg_crop_tr_02, 409.3226, -66.2619, 70.56808, -0.111219, -0.184299, 0.966405, 0.140448, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 409.9929, -65.64124, 70.56094, -0.09422399, -0.196634, 0.285962, 0.9331038, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 417.3696, -163.5649, 63.14182, -0.205957, 0.07158899, 0.9592769, -0.179568, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 417.8848, -162.8105, 63.14897, 0.195604, -0.08986001, -0.2478871, 0.944572, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 421.8928, -160.1626, 63.14182, -0.158362, 0.149882, 0.8008118, -0.5578149, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 484.0225, -130.7445, 60.23678, -0.17684, -0.127557, 0.6976631, 0.6824391, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 489.2494, -129.9306, 60.55676, -0.108822, -0.1889471, 0.3557001, 0.9088092, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 488.7228, -129.7535, 60.24393, -0.124837, -0.175362, 0.9742581, 0.066971, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 387.3361, -257.5486, 52.72974, -0.09491502, -0.157294, 0.9061832, 0.3808961, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 386.837, -256.8176, 52.95578, 0.06941598, 0.02911599, -0.1898889, 0.9789156, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_veg_crop_tr_02, 443.7729, -280.1701, 47.89056, 0.0001320002, -0.200665, 0.586713, 0.784539, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
