ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_w_r_cedar_dead, 310.3457, 758.038, 182.2284, 0.04896, 0.04550999, -0.280892, 0.9574087, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 319.7067, 783.4018, 185.3647, 0.04896, 0.04550999, -0.280892, 0.9574087, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 379.1956, 849.0002, 194.538, 0.06017102, -0.02911601, 0.7902892, 0.6090771, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 431.5536, 874.2081, 196.807, -0.016363, -0.005196, 0.992249, -0.123074, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 448.7246, 792.3945, 194.5552, 0.028074, -0.060664, 0.997312, -0.030009, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 287.1089, 926.2744, 208.2635, 0.02694, -0.06117599, 0.9965809, -0.04856299, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 303.7974, 990.4997, 209.4535, -0.016363, -0.005196, 0.992249, -0.123074, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
prop_w_r_cedar_dead, 289.8582, 735.4039, 180.3176, 0.03495, -0.00119, 0.9202781, -0.389699, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05_critical_0.ymap
prop_w_r_cedar_dead, 264.8176, 711.822, 183.8843, 0.08810998, 0.003792, 0.6665639, 0.7402127, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05_critical_0.ymap
prop_w_r_cedar_dead, 195.3547, 737.5107, 201.2361, 0.06264104, 0.02333101, 0.1065261, 0.9920605, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_1.ymap
prop_w_r_cedar_dead, 270.9571, 804.9561, 190.9369, 0.02694, -0.06117599, 0.9965809, -0.04856299, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_1.ymap
prop_w_r_cedar_dead, 250.3418, 790.8455, 197.6198, 0.02694, -0.06117599, 0.9965809, -0.04856299, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_1.ymap
prop_w_r_cedar_dead, 283.0972, 685.0387, 168.1521, -0.0009830015, -0.06683801, 0.8858351, -0.4591601, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_2.ymap
prop_w_r_cedar_dead, 263.4849, 677.5072, 172.8523, -0.0009830015, -0.06683801, 0.8858351, -0.4591601, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_2.ymap
prop_w_r_cedar_dead, 2528.054, 2647.085, 36.86998, -0.01534, 0.029467, 0.8865211, -0.4614941, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_7.ymap
prop_w_r_cedar_dead, 1171.188, 6416.849, 41.30664, 6.599998E-05, 0.03556798, 0.9993655, -0.001849999, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_3.ymap
prop_w_r_cedar_dead, 1511.318, 6301.138, 35.30161, -0.037926, 0.08167701, 0.9956902, 0.02216901, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_4.ymap
prop_w_r_cedar_dead, 1489.262, 5292.24, 207.5453, 0, 0, 0.4924238, 0.8703555, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_6.ymap
