ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubmedb, -1925.058, 2135.223, 118.2425, 0.02931601, 1.700016E-05, 0.3638781, 0.9309852, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubmedb, -1914.409, 2221.275, 84.43823, -0.015642, 0.100489, -0.3063409, 0.9464737, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubmedb, -3074.548, 1105.22, 20.49887, 0.011552, -0.04341901, -0.5827841, 0.8113841, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
cs_x_rubmedb, -3106.873, 1037.36, 18.68599, -0.04433297, -0.007300996, 0.8639225, 0.5016167, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
cs_x_rubmedb, 2002.154, 2129.693, 93.03819, -0.2112971, 0.03708401, 0.1688401, 0.9620142, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rubmedb, 2042.628, 1991.915, 84.49524, -0.128183, 0.020272, 0.28208, 0.950573, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rubmedb, 2142.246, -859.2557, 81.18929, 0.06606099, 0.227294, 0.7800239, 0.5792549, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
cs_x_rubmedb, 2097.493, -889.6793, 83.05048, 0.112967, 0.157081, 0.501138, 0.84346, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
cs_x_rubmedb, 2127.728, -870.3063, 81.66229, 0.274058, 0.130094, -0.340566, 0.889934, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
cs_x_rubmedb, 2169.448, -847.7023, 78.07865, 0.103657, 0.031548, 0.523515, 0.8450989, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
