ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubsmle, 1177.372, -2628.079, 16.53078, -0.06230899, -0.131899, -0.240401, 0.9596497, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
cs_x_rubsmle, -1908.641, 2193.32, 96.59035, 0.102327, -0.021034, 0.200244, 0.9741607, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubsmle, 305.5558, 417.4718, 119.6594, -0.2929169, 0.08037098, 0.2521009, 0.9187956, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_0.ymap
cs_x_rubsmle, 609.9393, 322.5986, 106.7131, 0.310644, -0.178419, 0.7928761, -0.4929651, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 574.7766, 291.2757, 105.1775, 0.3458118, 0.05423597, 0.7979995, -0.4905807, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 614.6297, 337.0009, 111.2602, -0.243698, -0.137653, -0.2635549, 0.9231477, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 466.1705, 304.1876, 105.7958, -0.1968601, 0.100301, 0.2359281, 0.9463212, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 516.4033, 340.7329, 134.1354, -0.3330782, -0.07853405, -0.06991205, 0.9370185, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 536.1752, 339.071, 130.2571, 0.1684219, -0.1778789, 0.9016707, -0.3563469, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 602.0867, 336.2224, 117.7199, -0.03872, -0.158543, 0.006222, 0.986573, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 438.0582, 344.7764, 105.3827, -0.06463501, -0.210646, 0.7523501, -0.6208221, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmle, 636.1786, 678.9945, 129.7686, 0.06257103, 0.01063001, 0.8821926, -0.4665923, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmle, 603.5467, 757.4017, 200.6747, -0.033997, -0.003435001, 0.9135231, 0.405349, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmle, 666.2828, 756.8853, 204.0002, -0.041713, -0.033843, 0.4924721, 0.8686691, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmle, 582.9349, 667.4227, 134.261, -0.13766, -0.182682, 0.477511, 0.8483279, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmle, 696.9905, 681.1569, 130.8425, -0.409201, 0.073042, 0.159821, 0.895364, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_4.ymap
