ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubweec, 1170.041, -2621.785, 21.81566, -0.2706402, 0.06178804, 0.01513201, 0.9605765, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
cs_x_rubweec, 2575.292, -128.5344, 90.70847, 0.2337109, -0.08235995, 0.9494416, -0.1927609, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
cs_x_rubweec, 2508.844, 507.4889, 111.9111, -0.08555303, 0.04428801, -0.05156602, 0.9940122, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2510.518, 511.1589, 112.3463, 0.01531499, 0.05248198, -0.5383228, 0.8409635, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2488.353, 674.7854, 107.4763, 0.281532, 0.09578602, 0.9529253, 0.05914601, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2489.82, 684.3984, 105.7211, 0.181989, -0.180364, 0.4972961, 0.828882, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2432.585, 929.7977, 88.03172, 0.06338097, 0.06586097, 0.8824916, -0.4613608, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2280.334, 1120.682, 64.5643, 0.1753009, -0.1581129, 0.7643937, 0.5999768, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2472.08, 76.00018, 100.9509, -0.05955002, 0.00038, -0.4673621, 0.882058, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2474.56, 79.25533, 100.4891, 0.05902599, -0.09770098, 0.164448, 0.9797588, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2487.745, 237.5734, 108.2548, -0.06175002, -0.05426402, 0.02168601, 0.9963795, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2498.341, 236.0613, 106.4515, -0.05923402, 0.013185, -0.6009161, 0.7970052, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2491.857, 227.4161, 106.7351, 0.008790001, -0.06640802, 0.06905901, 0.995361, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2505.811, 275.0977, 107.7225, -0.011537, -0.141536, -0.1286941, 0.9814643, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2515.061, 497.5829, 110.7735, 0.03577899, 0.06194799, -0.04496599, 0.9964238, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 2510.735, 316.581, 110.6463, 0.023935, -0.108467, 0.6720551, 0.732123, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweec, 1681.499, 1249.744, 84.76569, 0.03364301, 0.2349561, 0.1462061, 0.960358, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1676.141, 1223.956, 86.19145, 0.04498098, 0.1693849, 0.3753839, 0.9101497, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1670.854, 1222.07, 84.52257, 0.06475902, 0.1661261, -0.1456041, 0.9731433, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1665.295, 1201.87, 84.07307, 0.08416001, 0.101276, -0.555986, 0.8206947, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1657.804, 1174.296, 83.52165, -0.064485, -0.036683, 0.946044, -0.315431, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1660.181, 1186.118, 83.67816, -0.01825199, -0.005955997, 0.9028096, 0.4296118, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1660.199, 1174.402, 83.91524, 0.01252699, 0.155585, 0.6822198, 0.7142917, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1640.086, 1110.727, 81.88448, 0.04168199, 0.09176897, 0.5191868, 0.8486967, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1643.117, 1114.035, 82.17415, 0.034159, 0.080607, 0.565759, 0.81991, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
cs_x_rubweec, 1647.189, 1133.843, 82.91537, -0.114413, 0.2719289, 0.6546977, 0.6959419, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
