ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_coastboulder_05_, 1199.505, -2654.274, 3.269958, 0.05235999, -0.092228, 0.8647209, -0.4909279, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
csx_coastboulder_05_, -925.7078, -1780.821, 8.169434, 0.06370899, 0.127321, 0.344923, 0.9277708, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -944.1986, -1789.918, 6.969299, 0.156423, 0.021127, -0.5070899, 0.8473166, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -939.8488, -1786.509, 6.956055, -0.109704, 0.104993, 0.9745027, -0.165185, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -917.3093, -1763.082, 5.19635, 0.2173071, -0.008068, -0.6279071, 0.747292, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -920.9105, -1773.433, 7.49646, -0.06101099, 0.167583, 0.9082078, 0.3786189, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -932.0558, -1786.937, 8.16394, 0.102126, 0.07731898, -0.005366999, 0.9917476, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -944.1981, -1795.023, 8.046387, -0.09174397, 0.07865697, 0.9809877, -0.1518529, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -952.7347, -1805.754, 8.536987, 0.02442501, 0.142979, 0.5419401, 0.8278052, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -965.543, -1817.455, 7.503357, 0.03811401, 0.209415, 0.4157001, 0.8842432, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -998.8236, -1841.049, 7.692383, 0.120661, -0.008533004, -0.5842341, 0.8025202, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -993.415, -1845.464, 9.295532, -0.09222103, 0.009366003, 0.8703942, -0.4835511, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -978.819, -1829.711, 7.817566, 0.1679419, -0.02269699, -0.6255137, 0.7615858, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -1023.427, -1870.456, 9.555298, 0.125169, 0.010849, -0.3841109, 0.9146988, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -1010.826, -1860.411, 9.49707, 0.037604, 0.05500301, 0.231015, 0.9706661, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -900.2714, -1750.105, 6.67334, 0.05257199, 0.188443, 0.4040809, 0.893557, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -905.7365, -1759.866, 8.002991, 0.03291798, 0.1950009, 0.6270387, 0.7534677, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -906.8566, -1754.652, 5.64856, -0.204759, -0.02369701, 0.6928579, -0.690985, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -888.7448, -1734.825, 6.353516, 0.1015939, 0.1850089, 0.2836499, 0.9354107, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, -904.0367, -1756.186, 7.143921, 0.2112241, 0.07199904, -0.4580783, 0.8604445, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_05_, 1364.821, -2691.005, 1.934052, 0.005404997, 0.04424698, 0.9916355, -0.1211279, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_0.ymap
csx_coastboulder_05_, 1676.238, -2684.425, 1.50943, -0.020684, 0.012077, 0.5040609, 0.8633359, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_0.ymap
csx_coastboulder_05_, 2390.708, -2126.469, 1.408539, -0.160953, -0.013363, -0.08165201, 0.9834879, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_1.ymap
csx_coastboulder_05_, 2269.853, -2142.17, 1.022873, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_1.ymap
csx_coastboulder_05_, 2154.82, -2258.062, 3.886993, -0.138921, 0.02401701, 0.168652, 0.9755412, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_2.ymap
csx_coastboulder_05_, 2025.244, -2493.978, 2.291306, -0.4618122, 0.07847004, 0.1480001, 0.8710155, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_3.ymap
csx_coastboulder_05_, 1914.666, -2629.709, 2.794922, 0, 0, 0.7630433, -0.6463473, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_3.ymap
csx_coastboulder_05_, 1801.269, -2697.646, 1.294266, 0, 0, 0.3883521, 0.9215111, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_3.ymap
csx_coastboulder_05_, 2662.184, -894.2396, 1.709656, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
csx_coastboulder_05_, 2641.725, -1119.331, 1.932617, 0.005273002, 0.05142703, 0.9934545, -0.1018621, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_2.ymap
csx_coastboulder_05_, 2487.789, -1251.004, 1.827408, 0, 0, 0.2192921, 0.9756593, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_2.ymap
csx_coastboulder_05_, 2498.157, -1491.669, 1.004623, 0, 0, 0.5082241, 0.8612249, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_4.ymap
csx_coastboulder_05_, 2500.06, -1421.247, 0.599419, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_4.ymap
csx_coastboulder_05_, 2628.056, -1799.624, 1.102829, -0.09301397, -0.08128697, -0.6530038, 0.7472128, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_6.ymap
csx_coastboulder_05_, -30.28435, 6896.597, 1.866669, 5.899999E-05, -0.000372, 0.5059599, 0.8625569, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_long_0.ymap
csx_coastboulder_05_, -55.29002, 6878.994, 0.243011, -0.06442398, 0.09250998, 0.8173597, 0.5649908, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_long_0.ymap
csx_coastboulder_05_, 1332.308, 6586.765, 0.334183, 0.02421099, -0.03080498, -0.3359249, 0.9410735, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
csx_coastboulder_05_, 803.5153, 6573.211, 5.402916, 0.29528, -0.089266, -0.526483, 0.792248, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
csx_coastboulder_05_, 96.76599, 7065.637, 1.245938, 0.110071, -0.04922599, 0.225302, 0.966799, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_2.ymap
csx_coastboulder_05_, 65.27155, 7066.874, 0.662292, 0.032235, -0.034557, 0.935795, -0.349363, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_2.ymap
csx_coastboulder_05_, 77.01526, 7065.896, 0.65971, -0.007613002, -0.02100301, 0.9665843, 0.2553741, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_2.ymap
csx_coastboulder_05_, 1341.954, 6607.211, -0.916163, -0.04798901, -0.026993, 0.9629931, -0.263842, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1326.516, 6568.772, 2.458088, 0.05172601, -0.03633301, -0.6104131, 0.789557, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1166.013, 6554.361, 3.713217, 0.384065, -0.087512, 0.770608, 0.5009981, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1163.051, 6568.474, 1.745844, 0.08475003, -0.04971602, -0.2908851, 0.9516993, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1160.806, 6565.673, 2.050524, 0.251333, 0.024347, 0.524882, 0.8128579, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1145.443, 6571.352, 2.161386, 0.13077, -0.011719, 0.1987781, 0.9712102, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1168.06, 6547.517, 5.139786, 0.4685488, 0.05678498, 0.7020746, 0.5332248, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1177.584, 6543.052, 3.569397, 0.310386, 0.213412, 0.763503, 0.524575, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1189.778, 6540.899, 3.942398, -0.19237, 0.187209, 0.8967871, -0.351738, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1204.421, 6549.426, 2.257828, -0.09406, 0.111775, 0.970912, -0.189708, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1335.843, 6595.509, -0.083803, 0.092666, 0.03318, -0.5526181, 0.8276022, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1468.729, 6632.132, -2.269405, 0.283063, 0.120695, 0.9370709, 0.164943, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 945.3104, 6534.438, 15.96092, 0.03031401, 0.124028, 0.9661204, 0.2242981, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 979.627, 6537.774, 13.17217, 0.118822, -0.07229902, -0.4435261, 0.8854032, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 986.8635, 6551.492, 8.84379, 0.04159901, 0.146314, 0.9879302, 0.02925201, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1053.601, 6580.113, 3.131402, 0.009303001, 0.05316201, 0.9985021, 0.008992, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1046.617, 6572.18, 4.794115, 0.061334, 0.013624, 0.235345, 0.969879, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 1103.413, 6580.494, 2.545883, 0.09336201, -0.002307001, 0.190837, 0.9771691, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, 928.2929, 6547.269, 13.5396, -0.04509701, 0.110561, 0.9525753, -0.279898, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_long_3.ymap
csx_coastboulder_05_, -607.2664, 5990.577, 11.96518, -0.2550701, 0.107099, 0.7945811, 0.540472, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_long_1.ymap
csx_coastboulder_05_, -575.793, 6033.588, 19.32944, 0.1502981, 0.03692202, -0.6961673, 0.7009982, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_long_1.ymap
csx_coastboulder_05_, -582.4963, 5934.862, 25.7507, 0.04445302, 0.05775202, 0.8227834, 0.5636633, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_long_1.ymap
csx_coastboulder_05_, -621.1529, 5943.757, 19.68155, -0.09988303, -0.121838, 0.7850713, -0.5990342, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_long_1.ymap
csx_coastboulder_05_, -507.6502, 5885.724, 28.11026, 0.02185299, -0.003463999, 0.9991506, 0.03476499, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_long_1.ymap
csx_coastboulder_05_, -509.8336, 5884.327, 28.49588, 0.00677, -0.09930401, -0.6645201, 0.7406119, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_long_1.ymap
