ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_coastsmalrock_03_, 1207.868, -2659.706, 3.527405, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
csx_coastsmalrock_03_, 1223.834, -2675.381, 1.406204, -0.05059602, 0.001011, 0.01995701, 0.9985193, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
csx_coastsmalrock_03_, 1825.028, 54.00812, 140.2807, -0.05074098, -0.007449997, -0.1278039, 0.9904726, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1811.759, 60.35028, 142.0898, -0.1127511, -0.01236301, 0.1166531, 0.9866744, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1947.269, 38.38397, 154.5775, 0.162312, -0.10258, -0.6903961, 0.6974851, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 2021.564, 76.93854, 157.5849, 0.1849191, 0.01666201, -0.3704581, 0.9101033, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 2001.645, 57.16412, 156.8705, 0.1650231, 0.123184, -0.3939582, 0.8957623, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1951.641, 69.22101, 148.1828, 0.05469002, 0.01832801, -0.3985201, 0.9153441, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1958.67, 60.48199, 149.3304, 0.01223599, 0.04911798, 0.5726818, 0.8182135, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1864.249, -37.87372, 152.3417, -0.02286699, 0.017542, 0.9235436, -0.3824088, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1840.175, -39.96246, 152.8482, 0.137369, 0.06142402, 0.7450772, 0.6497822, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1802.313, -33.47003, 151.4394, 0.1035, 0.05943798, 0.2591779, 0.9584267, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1809.003, -36.85156, 152.6523, 0.07287501, 0.09452102, 0.606223, 0.7862879, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_long_9.ymap
csx_coastsmalrock_03_, 1693.805, -37.17871, 151.9042, -0.1380599, 0.2114029, 0.7742516, -0.5803297, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
csx_coastsmalrock_03_, 1712.025, -57.08588, 160.1083, 0.1365, -0.057793, 0.033603, 0.9883818, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
csx_coastsmalrock_03_, 1705.534, -60.45325, 162.8651, -0.134061, 0.3826899, 0.8606288, -0.3080489, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
csx_coastsmalrock_03_, 1757.37, -57.11975, 158.12, 0.172858, -0.04409599, -0.410993, 0.8940137, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
