ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_medb_, 266.5194, 4275.824, 36.92857, -0.2516201, 0.1355471, 0.02192901, 0.9580362, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 267.1908, 4274.589, 36.32176, -0.154141, 0.24995, -0.584057, 0.7567318, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 427.8269, 4320.881, 33.14214, -0.001156999, 0.165576, 0.516745, 0.8399749, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 425.6397, 4320.452, 32.8448, 0.094017, 0.269755, 0.75738, 0.58717, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 395.4964, 4326.462, 36.59599, 0.4181162, -0.4999572, 0.02771502, 0.7579272, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 396.1747, 4328.51, 34.73778, -0.103931, -0.2605801, 0.3399751, 0.8976153, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 398.0898, 4325.934, 32.13159, -0.1322401, -0.3524532, 0.1219821, 0.9183734, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 404.7691, 4332.717, 35.35081, -0.03590202, -0.4927853, 0.8529496, -0.1683771, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 416.777, 4327.584, 32.4585, -0.6838361, 0.07358901, -0.186142, 0.7016439, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 414.5074, 4325.977, 28.98108, -0.2250181, -0.3750952, 0.8826173, 0.1722131, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 450.7164, 4222.401, 30.80423, -0.185039, 0.253864, -0.278964, 0.907465, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medb_, 424.994, 4292.631, 30.60098, -0.4860783, 0.2514232, 0.4960863, 0.6741014, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
