ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_medc_, 385.3318, 4345.343, 49.44011, 0.3028288, -0.1492399, 0.9037516, -0.2631639, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 451.5277, 4217.823, 29.12866, -0.06281103, 0.1909701, -0.6058682, 0.7697461, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 453.276, 4221.882, 31.64619, -0.510717, -0.059644, 0.339786, 0.7875, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 419.4489, 4292.07, 28.15573, -0.12731, 0.008913999, 0.9623837, 0.239855, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 504.3864, 4163.475, 32.19666, -0.151822, -0.04950199, -0.3060139, 0.9385388, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 517.2706, 4155.106, 30.19188, -0.07454301, -0.161663, 0.9832711, 0.03855301, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 522.4099, 4150.688, 29.25755, -0.06567498, -0.1766879, 0.9503196, 0.2477109, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 519.5065, 4153.789, 30.0406, 0.035429, -0.191098, 0.8364099, -0.512489, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 330.8464, 4242.645, 27.40158, 0.03236, -0.092523, 0.933508, 0.344899, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medc_, 328.942, 4245.104, 28.32654, -0.09081999, -0.180266, 0.612901, 0.7639427, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
