ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_seabed_bldr7_, -1942.577, -1142.755, -36.23937, -0.017093, 0.01552601, 0.9480243, -0.3173591, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -2003.244, -987.1415, -16.75092, 0.025474, 0.0008580004, 0.3782141, 0.9253672, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1970.87, -1021.455, -16.00892, -0.007661003, 0.01268801, 0.4686602, 0.8832542, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1968.686, -993.3991, -17.10848, 0.004884001, 0.03172701, 0.9879342, 0.151511, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1973.355, -1073.047, -27.79217, -0.06178897, 0.05015297, 0.5204648, 0.8501666, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1983.381, -1111.51, -41.79061, 0.06185801, 0.07273301, -0.5706921, 0.8155943, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -2023.974, -1114.481, -50.99297, 0.014561, 0.104093, -0.320818, 0.9412909, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -2084.265, -1015.914, -43.01538, -0.015109, 0.01185, 0.215043, 0.9764158, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -2098.802, -1004.257, -44.0141, -0.013967, 0.08912103, 0.8942522, -0.4383781, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -2074.209, -980.1828, -39.90134, 0.08666603, 0.120539, -0.4277591, 0.8916174, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -2073.824, -940.765, -41.11058, -0.08993703, -0.005907002, 0.9829164, -0.1604741, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1894.526, -1195.699, -25.12762, -0.093449, -0.144028, 0.820409, -0.545392, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1837.344, -1144.115, -11.50836, 0.05411, 0.110735, 0.97273, -0.196485, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr7_, -1870.87, -1145.478, -17.01312, 0.104016, 0.06515598, 0.9916559, -0.03942, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
