ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_seabed_rock5_, 3213.804, -1351.469, -33.16022, -0.035814, 0.084999, 0.56553, 0.8195538, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_sea_long_1.ymap
csx_seabed_rock5_, 3403.183, 5354.101, -22.13725, 0.1138, -0.069584, 0.7034509, -0.6981149, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_08_sea_long_0.ymap
csx_seabed_rock5_, 3585.665, 5594.689, -26.75715, 0.145006, -0.06171602, 0.4995771, 0.851814, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_08_sea_long_0.ymap
csx_seabed_rock5_, 3266.992, 6437.784, -47.61124, -0.04188201, -0.166553, 0.126878, 0.976938, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_10_sea_long_0.ymap
csx_seabed_rock5_, 3009.165, 6537.386, -30.061, 0.07764497, -0.02330299, 0.4643028, 0.8819587, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_10_sea_long_0.ymap
csx_seabed_rock5_, 3153.335, 6530.276, -29.4248, -0.02329701, -0.02286501, 0.9713026, 0.2355971, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_10_sea_long_0.ymap
csx_seabed_rock5_, 1621.442, 6730.365, -10.97743, 0.13697, 0.114193, 0.515066, 0.838395, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_11_sea_long_0.ymap
csx_seabed_rock5_, 1570.777, 6940.941, -40.03316, 0.1602481, -0.1871251, -0.4609442, 0.8525463, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_11_sea_long_0.ymap
csx_seabed_rock5_, 3489.221, 1581.428, -156.2576, -0.08977797, 0, 0, 0.9959618, x64t.rpf\levels\gta5\_hills\country_05\country_05_metadata.rpf\cs5_3_sea_long_0.ymap
csx_seabed_rock5_, 3213.804, -1351.469, -33.16022, -0.03581399, 0.084999, 0.5655301, 0.8195538, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\hei_ch3_14b_sea_long_1.ymap
csx_seabed_rock5_, 3213.804, -1351.469, -33.16022, -0.035814, 0.084999, 0.56553, 0.8195538, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\hei_ch3_14b_sea_long_1.ymap
