ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_1_i, 1408.543, -1895.926, 70.04674, -0.1234839, 0, 0, 0.9923466, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_19_long_0.ymap
prop_rock_1_i, 1412.54, -1851.7, 70.97843, 0, 0.02490799, 0, 0.9996898, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_19_long_0.ymap
prop_rock_1_i, 1411.417, -1841.865, 71.05802, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_19_long_0.ymap
prop_rock_1_i, -696.9991, 24.51506, 39.4495, 0, 0, 0.8338859, -0.5519369, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_01_strm_0.ymap
prop_rock_1_i, -694.4095, 24.8665, 39.4495, 0, 0, -0.5591929, 0.8290376, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_01_strm_0.ymap
prop_rock_1_i, -952.1518, 323.3492, 70.2508, 0, 0, 0.258819, 0.9659258, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_42b_long_0.ymap
prop_rock_1_i, -954.4596, 325.2142, 70.2508, 0, 0, 0.6755903, 0.7372773, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_42b_long_0.ymap
prop_rock_1_i, -941.6868, 333.7986, 70.31894, -0.018096, 0.03062699, -0.2638199, 0.9639158, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_42b_long_0.ymap
prop_rock_1_i, -943.0243, 333.672, 70.32066, -0.003096, 0.008238, 0.241584, 0.97034, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_42b_long_0.ymap
prop_rock_1_i, -866.2525, -981.3316, 12.33484, -0.113364, -0.054556, 0.9892611, 0.074396, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -874.4406, -968.5529, 12.17051, 0, 0, 0.9995162, -0.03110201, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -902.9647, -935.0657, 10.73426, -0.107418, -0.09656302, 0.8575162, 0.4937641, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -993.7883, -853.4789, 12.99026, -0.112397, -0.04182101, 0.9898812, 0.07584901, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -952.0834, -868.0708, 13.8004, 0, 0, 0.9995162, -0.03110201, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -952.9709, -867.2346, 13.63833, -0.113364, -0.054556, 0.9892611, 0.074396, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -924.6998, -914.5387, 4.858337, -0.04220101, -0.04491201, 0.9975554, -0.03294401, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -906.634, -945.3939, 4.994877, -0.113364, -0.054556, 0.9892611, 0.074396, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_05_long_0.ymap
prop_rock_1_i, -1129.978, -1235.87, 4.643631, 0, 0, 0.8660254, 0.5000002, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_22_long_0.ymap
prop_rock_1_i, -1133.806, -1223.851, 4.403641, 0, 0, 0.9848078, 0.1736479, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_22_long_0.ymap
prop_rock_1_i, -1048.47, -1478.103, 4.052231, 0, 0, 0.4617487, 0.8870108, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1053.724, -1493.22, 4.087158, 0, 0, -0.258819, 0.9659258, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1066.436, -1458.963, 4.129143, 0, 0, 0.4617487, 0.8870108, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1071.858, -1459.115, 4.063248, 0, 0, -0.258819, 0.9659258, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1074.424, -1457.496, 4.047131, 0, 0, 0.85264, -0.522499, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1049.974, -1326.992, 4.479427, 0, 0, 0.3255679, 0.9455187, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1047.358, -1321.029, 4.47813, 0, 0, 0.9702958, -0.2419219, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1070.632, -1399.854, 4.178444, 0, 0, 0.05770698, 0.9983336, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1059.653, -1358.923, 4.30204, 0, 0, 0.4823362, 0.8759862, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_44_long_0.ymap
prop_rock_1_i, -1124.756, -994.6615, -2.137181, 0, 0, 0.9988174, -0.04862002, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1161.425, -1014.929, -2.029396, -0.04543, -0.125823, 0.692067, 0.7093291, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1080.848, -1096.072, -1.891582, 0, 0, 0.7581432, -0.6520882, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1051.353, -1088.516, -1.631539, -0.02356801, 0.1316811, 0.9540125, -0.2682631, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1016.988, -1181.322, -1.671925, -0.006871999, 0.04792399, -0.5414889, 0.8393127, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1017.822, -1185.562, -2.085787, 0, 0, 0.7287562, 0.6847733, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1036.787, -943.8718, -1.959671, -0.090593, 0.006785999, -0.5421939, 0.8353279, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1037.62, -948.112, -2.278676, 0.04249401, -0.03220702, 0.7279242, 0.6835812, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -1015.302, -947.7554, -2.452484, -0.147532, -0.009837, 0.254678, 0.9556551, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -977.6015, -966.2592, -1.592341, 0, 0, 0.2115501, 0.9773672, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -973.3613, -967.0931, -2.001306, 0, 0, 0.9995162, -0.03110201, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_i, -2805.317, 8.041733, 11.1481, -0.013557, 0.016916, 0.787397, -0.6160651, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_0.ymap
prop_rock_1_i, -3013.213, 202.5356, 15.05461, 0, 0, 0.9995696, 0.02934002, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
prop_rock_1_i, -3013.772, 215.9392, 14.92736, 0, 0, 0.02369901, 0.9997191, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
prop_rock_1_i, -3015.209, 209.0819, 15.03044, 0, 0, 0.9742324, -0.2255471, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
prop_rock_1_i, -2997.622, 159.0624, 14.34278, 0, 0, 0.9710769, 0.238767, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
prop_rock_1_i, -3022.967, 406.8547, 13.88337, -0.015314, 0.015343, 0.8496708, -0.5268679, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2953.624, 309.5657, 29.20802, -0.14722, 0.166619, 0.7306269, 0.6455609, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2954.028, 312.8137, 29.03622, -0.036231, 0.036247, 0.7063321, 0.706023, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2956.184, 317.0732, 29.62325, -0.04786401, 0.08567402, 0.8687831, 0.4853711, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2954.976, 315.5569, 29.43982, -0.149819, -0.02340099, -0.152543, 0.9765947, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2957.659, 314.8761, 29.52974, -0.09774401, 0.020747, 0.9711361, -0.216588, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2957.86, 313.2206, 29.3873, -0.164753, -0.103626, 0.8766769, 0.4399499, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2954.187, 314.744, 29.20169, -0.08963098, 0.02097199, 0.2762139, 0.9566777, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -2956.837, 315.0566, 29.62805, 0.06647797, -0.07459896, -0.6542976, 0.7496067, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_i, -3055.334, 304.5533, 17.88468, -0.02157, 0.002165, 0.9911671, 0.130835, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_02_strm_3.ymap
prop_rock_1_i, -3053.684, 278.353, 19.45077, -0.01806201, 0.01198701, 0.9375465, -0.3471842, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_02_strm_3.ymap
prop_rock_1_i, -2798.714, 2237.396, 23.85471, 0.034676, -0.032224, 0.5043961, 0.8621739, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_rock_1_i, -2808.467, 2229.963, 25.97059, 0.06235601, 0.041011, 0.8331651, -0.547965, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_rock_1_i, -2798.845, 2236.041, 24.00305, 0.008489996, -0.01994699, -0.5919628, 0.8056737, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_rock_1_i, -3071.336, 1755.707, 36.21237, -0.01570801, -0.01494001, 0.5472193, 0.8367085, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_rock_1_i, -3065.216, 1769.604, 34.40916, -0.06155803, 0.07951403, 0.9554945, -0.2773421, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_rock_1_i, -1973.859, 253.4555, 86.56794, 0, 0, 0.9762959, -0.21644, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_long_0.ymap
prop_rock_1_i, -1982.628, 194.4216, 85.41916, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_i, -1980.965, 196.2482, 85.38291, 0, 0, 0.9762959, -0.21644, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_i, -1976.302, 253.997, 86.56794, 0, 0, 0.639702, 0.768623, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_i, -1990.628, 224.61, 86.93754, 0, 0, 0.9762959, -0.21644, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_i, -1992.528, 225.6517, 86.93754, 0, 0, 0.639702, 0.768623, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_i, -2838.893, 2170.559, 31.73864, 0, 0, 0.8182623, 0.5748452, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_long_0.ymap
prop_rock_1_i, -2848.664, 2164.157, 33.08617, 0, 0, 0.537421, 0.8433141, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_long_0.ymap
prop_rock_1_i, -2827.59, 2174.843, 30.78767, 0.019838, -0.008739999, 0.186721, 0.9821738, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_long_0.ymap
prop_rock_1_i, -3082.572, 1136.305, 19.87794, -0.018587, 0.011157, 0.9523161, -0.304342, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3081.577, 1109.174, 19.701, -0.01419799, -0.01638199, 0.4641608, 0.8854856, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3103.747, 1057.709, 19.28329, 0, 0, 0.1208359, 0.9926725, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3096.481, 1074.049, 19.23695, -0.015701, 0.014947, 0.862833, -0.505024, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3094.575, 1069.317, 19.22755, -0.021676, 0.000323, 0.9764579, 0.214616, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3074.314, 1126.051, 20.18121, -0.015479, 0.03260701, 0.4549442, 0.8897882, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3080.593, 1079.386, 20.17052, -0.049798, -0.026154, 0.997229, -0.048689, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3083.927, 1067.573, 20.3564, -0.006031003, 0.08127803, 0.4555252, 0.8864843, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3069.312, 1140.821, 20.68883, 0, 0, 0.9849735, -0.1727061, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3083.732, 1162.944, 19.6964, 0, 0, 0.9981138, -0.06139199, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3134.841, 975.0082, 14.89021, 0, 0, 0.9624545, -0.2714431, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3124.677, 996.0404, 16.60185, -0.001023001, -0.03908001, 0.7123182, -0.7007672, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3119.51, 997.6302, 17.13515, -0.021533, 0.002501, 0.9930881, 0.115352, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3131.29, 986.1371, 15.62663, 0, 0, 0.2200309, 0.9754929, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3105.07, 1044.085, 19.0101, 0, 0, 0.9848695, -0.1732981, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, -3111.077, 1028.541, 18.4388, -0.014118, 0.01645, 0.807684, -0.589217, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_i, 164.1408, 459.0302, 141.53, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 166.5816, 449.239, 141.5205, 0.002003001, 0.003826001, 0.8859383, 0.4637832, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 165.3805, 449.8159, 141.5231, 0, 0, -0.4421409, 0.8969457, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 92.49193, 446.6906, 141.0533, 0, 0, 0.9659259, 0.258819, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 92.47165, 445.5795, 141.0967, 0, 0, 0.9659259, 0.258819, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 113.3557, 436.9097, 141.0741, 0, 0, 0.9659259, 0.258819, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 114.8463, 437.6803, 141.0602, 0, 0, 0.9659259, 0.258819, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 111.3896, 436.8905, 141.0741, 0, 0, -0.1736479, 0.9848078, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 96.27367, 443.1013, 146.2776, 0, 0, 0.9848078, 0.1736479, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 94.3076, 443.0821, 146.2776, 0, 0, -0.258819, 0.9659258, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 92.81693, 442.3115, 146.2637, 0, 0, -0.258819, 0.9659258, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 108.6585, 467.9924, 146.3016, 0, 0, -0.08971702, 0.9959673, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, 108.8368, 469.3193, 146.3562, 0, 0, -0.183483, 0.9830229, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05d_long_0.ymap
prop_rock_1_i, -268.8066, 603.1925, 181.5087, -0.024909, 0.128127, 0.189199, 0.9732249, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_long_0.ymap
prop_rock_1_i, -269.1483, 603.215, 181.4171, -0.024909, 0.128127, 0.189199, 0.9732249, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_long_0.ymap
prop_rock_1_i, -269.9335, 602.3303, 181.107, 0.127906, -0.02602001, 0.8267393, -0.5472342, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_long_0.ymap
prop_rock_1_i, -1358.443, 728.282, 184.2707, 0.1299441, 0, 0, 0.9915213, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_long_1.ymap
prop_rock_1_i, -1365.227, 726.0972, 184.3253, 0.1299441, 0, 0, 0.9915213, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_long_1.ymap
prop_rock_1_i, -1350.468, 722.2399, 185.4172, -0.04972998, 0, 0, 0.9987627, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_long_1.ymap
prop_rock_1_i, -1352.747, 725.7773, 185.2734, 0.108609, 0.05537499, 0.064317, 0.990455, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_long_1.ymap
prop_rock_1_i, 1745.291, -110.2725, 180.3917, 0, 0, -0.2294251, 0.9733263, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
prop_rock_1_i, 1790.032, -86.75092, 189.6416, 0.000374, 0.000448, 0.768253, -0.640146, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
prop_rock_1_i, 1791.085, -86.21051, 189.6426, -0.0001180001, 0.0005710003, 0.9792325, 0.2027401, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
prop_rock_1_i, 1822.132, -94.15228, 186.032, 0.037217, -0.018647, 0.726099, 0.686329, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
prop_rock_1_i, 1827.382, -99.53577, 187.4157, 0.3684731, 0.127985, 0.4300961, 0.8141651, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
