ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_5_c, 610.4103, -1900.115, 20.6309, 0.012736, -0.3153361, -0.08786103, 0.9448181, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 611.4653, -1900.262, 19.63955, -0.119736, -0.3840501, -0.13823, 0.9050201, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 614.1392, -1898.459, 17.67727, 0.3173079, 0.07624897, 0.8964677, -0.2997459, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 605.191, -1922.336, 18.18777, -0.3299728, -0.1487189, -0.6192986, 0.6967567, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 603.7385, -1917.62, 20.57948, -0.123173, -0.3312061, -0.04243901, 0.9345212, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 595.948, -1940.313, 18.84645, -0.003788001, -0.03231801, 0.9541793, 0.2974611, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 593.2833, -1941.127, 18.46017, -0.074062, -0.07099501, 0.8765633, -0.4702251, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 595.7339, -1943.591, 18.62606, 0.006431006, 0.02775302, -0.4685764, 0.8829635, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 596.8951, -1945.408, 18.55798, 0.02188199, 0.009202997, 0.7288838, -0.6842258, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 596.2217, -1947.011, 18.57012, -0.009571, -0.02048, -0.257935, 0.9658978, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 597.1339, -1942.205, 18.61354, 0.04956601, 0.007142001, 0.8666712, -0.4963601, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 597.8227, -1943.368, 18.65191, 0.04956601, 0.007142001, 0.8666712, -0.4963601, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 592.5005, -1972.903, 18.7795, 0.009926002, 0.02995401, 0.7581432, 0.6513242, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 590.7908, -1970.612, 18.52477, -0.07693402, 0.007639003, 0.8575402, -0.5085741, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 592.1516, -1992.966, 20.30141, 0.005059001, 0.090622, 0.985703, -0.141957, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 595.5385, -1994.842, 20.22599, 0.0004099997, -0.07943897, -0.5616888, 0.8235259, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 595.3481, -1992.041, 20.09792, 0.059193, -0.008303, 0.937921, 0.34166, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 587.0367, -2012.85, 23.51362, 0.148065, 0.10024, 0.968644, 0.172504, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 584.1456, -2008.86, 23.23981, -0.01301, 0.039522, 0.9703801, -0.237973, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 587.9672, -2010.302, 23.07233, -0.06949302, -0.08612701, -0.001752, 0.993856, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 570.624, -1992.207, 21.16991, 0.004906999, 0.092393, 0.9835609, 0.155073, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 569.6238, -1990.018, 20.53795, 0.01622, 0.143863, 0.9069331, 0.3956171, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 569.3189, -1990.996, 20.79143, 0.145828, 0.009020002, -0.2316011, 0.9617764, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 570.6851, -2010.922, 23.4092, 0.04468702, 0.1428081, 0.7831154, 0.6036053, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 555.0527, -2020.268, 26.4594, 0.151128, 0.07643101, 0.274507, 0.946554, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 554.601, -2018.741, 25.89823, -0.04190901, 0.164088, 0.9835312, -0.06312902, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 549.5235, -2005.916, 22.6637, 0.001222, 0.076132, 0.9103251, 0.4068301, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 547.0085, -2005.541, 22.48349, 0.04495703, 0.06118805, 0.5762704, 0.8137244, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 534.1062, -2010.225, 22.27923, -0.02144499, 0.03343099, 0.8681268, 0.4947509, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 536.1221, -2011.009, 22.44794, -0.03183099, -0.02991999, 0.9592447, 0.2791799, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 510.6315, -2012.301, 23.5281, -0.105663, 0.008535, 0.08006101, 0.9911371, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 510.8574, -2009.73, 23.90098, -0.007684999, 0.014699, -0.5533499, 0.8327838, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 502.8286, -2024.115, 25.47178, -0.054163, 0.010021, -0.594177, 0.8024461, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 501.1649, -2024.381, 25.52618, -0.045111, -0.031608, 0.15588, 0.986239, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 602.3282, -1842.501, 24.13158, -0.013541, -0.007311002, 0.9756703, -0.2187021, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 606.0384, -1810.276, 22.54034, 0.05472899, -0.003303999, 0.634513, 0.770965, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 607.3058, -1812.404, 22.58107, 0.060606, -0.024441, 0.667223, 0.7419859, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 614.97, -1789.173, 20.1193, 0.1111039, 0.08695496, 0.9469835, -0.2886468, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 617.5566, -1788.106, 19.37536, 0.114706, -0.023179, 0.8958161, 0.4287411, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 624.6558, -1769.001, 17.177, 0.01476001, -0.2412861, 0.1434191, 0.9596844, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 621.9523, -1768.691, 18.32415, 0.03013401, -0.1789301, 0.110305, 0.9771944, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 623.4, -1771.017, 17.84198, 0.1829141, 0.09109304, 0.8975315, -0.3907453, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_c, 1609.192, 1032.275, 78.85529, 0.01062, 0.103597, 0.7971199, 0.5947729, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
