ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_cactus_03, 1000.898, -485.9025, 60.33206, 0, 0, -0.3325282, 0.9430934, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_strm_1.ymap
prop_cactus_03, 1005.336, -487.9103, 59.89143, 0, 0, -0.400644, 0.9162338, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_strm_1.ymap
prop_cactus_03, -1110.59, -1573.542, 4.263538, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_strm_0.ymap
prop_cactus_03, -1826.814, 307.5551, 88.33316, 0, 0, 0.784586, -0.6200199, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06f_strm_1.ymap
prop_cactus_03, -361.8158, 576.1382, 126.2954, 0, 0, -0.4924721, 0.8703282, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_0.ymap
prop_cactus_03, -362.4486, 574.963, 126.2704, 0, 0, 0.7997809, 0.600292, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_0.ymap
prop_cactus_03, -363.7559, 577.5677, 126.6613, 0, 0, 0.8909813, 0.4540401, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_0.ymap
prop_cactus_03, -366.4265, 571.2523, 126.6346, 0, 0, -0.4924721, 0.8703282, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_0.ymap
prop_cactus_03, -382.221, 536.2574, 123.4875, 0, 0, 0.7989429, -0.6014069, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_0.ymap
prop_cactus_03, -379.5692, 537.5924, 123.5098, 0, 0, 0.9862766, 0.1651021, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_0.ymap
prop_cactus_03, -476.1064, 657.6157, 144.9607, 0, 0, 0.9026092, -0.4304611, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_1.ymap
prop_cactus_03, -388.7693, 667.6923, 164.8659, 0, 0, 0.9026092, -0.4304611, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_1.ymap
prop_cactus_03, -385.8698, 669.318, 165.1411, 0, 0, -0.3855669, 0.9226799, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_1.ymap
prop_cactus_03, -386.7061, 669.7981, 165.009, 0, 0, -0.3855669, 0.9226799, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_1.ymap
prop_cactus_03, -436.5491, 613.8824, 141.3402, 0.05538399, -0.08059999, 0.8202269, 0.5636169, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_1.ymap
prop_cactus_03, -419.5855, 598.3259, 124.7587, -0.01865601, -0.1869721, 0.8026893, 0.5660242, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_1.ymap
prop_cactus_03, -235.6093, 590.3077, 189.0957, 0.003171998, -0.01599299, 0.1945529, 0.9807565, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_2.ymap
prop_cactus_03, -235.2405, 591.9536, 189.0372, 0, 0, 0.6255163, 0.7802112, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_2.ymap
prop_cactus_03, -236.0874, 592.4702, 189.0469, 0, 0, -0.109386, 0.9939994, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05f_strm_2.ymap
prop_cactus_03, -686.6311, 430.7357, 105.9049, 0.02133, -0.014789, 0.5612549, 0.8272359, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_07_strm_1.ymap
prop_cactus_03, -612.9872, 823.3215, 204.7365, -0.18662, -0.008844999, -0.046509, 0.9812908, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_1.ymap
prop_cactus_03, -631.132, 829.9265, 205.1936, -0.02151101, 0.005541002, 0.2493791, 0.9681512, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_1.ymap
prop_cactus_03, -312.7961, 634.9144, 174.394, 0, 0, 0.5706131, 0.821219, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_2.ymap
prop_cactus_03, -191.6671, 614.3061, 196.9085, -0.002003001, -0.02860202, 0.7593065, -0.6501014, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_08_strm_2.ymap
prop_cactus_03, -897.8163, 750.6219, 181.5801, 0, 0, 0.7313922, -0.6819572, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
prop_cactus_03, -1034.037, 766.5703, 170.8229, 0.07073303, -0.05092102, -0.07382703, 0.9934554, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
prop_cactus_03, -1033.574, 771.4153, 170.7646, 0.01401, -0.08602202, 0.6502762, 0.754682, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
prop_cactus_03, -1033.713, 769.0091, 170.6648, -0.04778698, -0.07288698, 0.9892896, 0.11709, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
prop_cactus_03, -1503.28, 513.0515, 117.1943, 0, 0, -0.002290001, 0.9999974, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_0.ymap
prop_cactus_03, -1522.781, 542.1454, 117.4816, 0, 0, -0.2610299, 0.9653307, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_0.ymap
prop_cactus_03, -1517.088, 545.1795, 117.4548, 0, 0, 0.9530259, 0.302889, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_0.ymap
prop_cactus_03, -1504.52, 552.342, 117.2468, 0, 0, 0.9911435, 0.1327961, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_strm_0.ymap
prop_cactus_03, -1310.031, 487.0418, 96.70613, 0, 0, 0.7610009, -0.648751, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_strm_0.ymap
prop_cactus_03, -1309.802, 504.7304, 96.70613, 0, 0, 0.7610009, -0.648751, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_strm_0.ymap
prop_cactus_03, -1305.52, 522.9931, 97.39851, 0, 0, 0.7610009, -0.648751, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_11_strm_0.ymap
