ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_joshua_tree_01a, 508.1196, -967.252, 26.54015, 0, 0, 0.7372773, 0.6755903, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_00_long_0.ymap
prop_joshua_tree_01a, 538.1953, -789.0928, 23.4512, 0, 0, -0.6755903, 0.7372773, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_00_long_0.ymap
prop_joshua_tree_01a, 840.4195, -179.5291, 73.19279, 0, 0, 0.9723696, -0.2334469, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_12_strm_0.ymap
prop_joshua_tree_01a, 897.6571, -204.9812, 70.84445, 0, 0, 0.9723696, -0.2334469, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_12_strm_0.ymap
prop_joshua_tree_01a, 922.0677, -242.5241, 69.34421, 0, 0, 0.9986417, -0.05210398, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_13_long_0.ymap
prop_joshua_tree_01a, 949.3815, -261.9319, 66.21484, 0, 0, 0.24784, 0.968801, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_13_strm_0.ymap
prop_joshua_tree_01a, 1149.842, -342.1064, 66.56724, 0, 0, 0.6541821, 0.7563371, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_b_long_0.ymap
prop_joshua_tree_01a, 944.7761, -536.646, 58.67202, 0.02896499, -0.06463698, 0.6022359, 0.7951698, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_long_0.ymap
prop_joshua_tree_01a, 1030.486, -479.5008, 62.99967, -0.06805301, -0.01963701, 0.08091402, 0.9942012, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_long_0.ymap
prop_joshua_tree_01a, -372.9042, -30.00365, 46.33954, 0, 0, 0.9728863, -0.2312841, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\bt1_02_long_0.ymap
