ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_joshua_tree_01d, -330.8198, -677.7877, 31.70062, -0.004250002, 0.06110503, 0.9957163, 0.06926202, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_long_0.ymap
prop_joshua_tree_01d, -355.7028, -680.6779, 31.62968, -0.009676001, 0.029561, 0.9898421, 0.138727, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_long_0.ymap
prop_joshua_tree_01d, -306.7457, -679.339, 32.18728, 0.05852501, -0.00195, 0.09524401, 0.9937301, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_long_0.ymap
prop_joshua_tree_01d, -303.1969, -682.7838, 32.78157, 0, 0, 0.9848078, -0.1736479, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_long_0.ymap
prop_joshua_tree_01d, -334.9431, -698.5283, 32.02602, -0.006255003, 0.006816004, -0.08719405, 0.9961484, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_09_long_0.ymap
prop_joshua_tree_01d, 650.051, -2.373753, 82.2191, 0, 0, 0.07499799, 0.9971837, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_joshua_tree_01d, 654.012, 6.297428, 82.47948, 0, 0, 0.9284787, -0.3713859, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_joshua_tree_01d, 660.9998, -4.12508, 83.05499, 0, 0, 0.2035729, 0.9790598, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_09_long_0.ymap
prop_joshua_tree_01d, -191.0191, -1588.73, 33.69775, 0.04125302, 0.03361502, -0.2990061, 0.9527662, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_long_0.ymap
prop_joshua_tree_01d, -74.13015, -1494.877, 31.79439, 0.105166, 0.09214803, -0.3965131, 0.9073181, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_12_long_0.ymap
prop_joshua_tree_01d, -25.64716, -1574.046, 28.14746, -0.06888001, 0.07755801, 0.9935721, -0.04533, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_12_long_0.ymap
prop_joshua_tree_01d, -1132.397, -170.8892, 39.13742, 0, 0, 0.2412959, 0.9704516, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_40_long_0.ymap
prop_joshua_tree_01d, -1143.391, -164.2239, 39.40786, 0, 0, 0.9970879, 0.076262, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_40_long_0.ymap
prop_joshua_tree_01d, -1274.554, -183.8376, 42.54372, 0, 0, 0.8961418, -0.4437679, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_40_long_0.ymap
prop_joshua_tree_01d, -1278.142, -179.1221, 42.56777, 0, 0, 0.7333179, 0.6798859, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_40_long_0.ymap
prop_joshua_tree_01d, -1264.963, -196.4335, 41.93022, 0, 0, 0.9073069, -0.4204689, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_40_long_0.ymap
prop_joshua_tree_01d, -1078.506, -1610.388, 3.369804, 0.04030798, 0.02655099, 0.4340339, 0.8996027, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_33_long_0.ymap
prop_joshua_tree_01d, -1069.799, -1518.009, 4.710052, 0, 0, 0.9410222, 0.3383451, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_long_0.ymap
prop_joshua_tree_01d, -1079.79, -1499.034, 4.611008, 0, 0, 0.4886762, 0.8724653, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_long_0.ymap
prop_joshua_tree_01d, -2844.404, 2212.022, 29.80563, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_joshua_tree_01d, -2740.524, 2315.172, 17.84933, 0, 0, -0.3303009, 0.9438757, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_03_long_0.ymap
prop_joshua_tree_01d, -2964.003, 1520.618, 26.97313, 0, 0, 0.9705279, 0.240989, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_strm_0.ymap
prop_joshua_tree_01d, -2961.521, 1521.479, 27.01807, 0, 0, 0.494445, 0.8692089, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_strm_0.ymap
prop_joshua_tree_01d, 1389.301, 1149.972, 113.3369, 0, 0, 0.7133262, -0.7008322, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_03c_long_0.ymap
prop_joshua_tree_01d, 1873.516, 3394.749, 41.20982, 0, 0, 0.8463941, -0.5325571, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1843.026, 3399.613, 41.31788, 0, 0, 0.07286201, 0.9973421, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1830.318, 3384.764, 41.16143, 0, 0, -0.118778, 0.9929209, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1867.844, 3333.583, 42.85889, 0.001578, 0.033558, 0.9983321, -0.046951, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1847.306, 3333.756, 42.81408, -0.013486, 0.017575, 0.7931541, 0.6086181, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1849.257, 3334.551, 42.8885, -0.013486, 0.017575, 0.7931541, 0.6086181, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1842.066, 3341.868, 42.48377, -0.015577, 0.016854, 0.73419, 0.678556, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1921.961, 3409.978, 41.62485, -0.02184101, -0.03876801, 0.9856052, -0.1631021, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1892.095, 3385.873, 40.72002, -0.03214701, 0.04378501, 0.9824752, 0.178303, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1891.774, 3401.626, 40.76606, 0, 0, 0.456762, 0.889589, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1887.047, 3396.087, 40.64216, 0, 0, 0.8935409, -0.4489819, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1890.051, 3221.499, 44.4744, 0.010183, -0.005053998, 0.9091427, 0.4163298, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1891.37, 3219.346, 44.52322, 0.008910002, -0.007060002, 0.8027161, 0.596253, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1947.628, 3190.344, 45.53032, 0.02233201, -0.006878003, 0.2607471, 0.9651243, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1947.321, 3196.69, 45.37759, 0.01136, 0.0004180002, 0.9976255, -0.06792802, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1950.504, 3197.419, 45.25428, -0.009096001, -0.025599, 0.06208501, 0.997701, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1854.574, 3331.073, 43.03446, -0.00207, 0.002056, 0.7048051, 0.7093951, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1894.505, 3249.87, 44.28119, -0.03708102, -0.007194003, -0.3084472, 0.9504912, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1862.693, 3254.484, 43.05654, -0.014696, -0.02849301, 0.9952382, -0.09205002, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1975.381, 3271.764, 44.48129, -0.001256, 0.0009660003, 0.6095762, 0.792726, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1981.525, 3248.98, 44.74998, 0.002037999, 0.01541699, 0.9167286, -0.3992078, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1977.436, 3251.492, 44.77166, 0.02112, -0.009116001, 0.09316401, 0.995385, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1971.379, 3232.92, 45.39745, 0.007172003, -0.02393401, 0.005572002, 0.9996723, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1932.021, 3239.313, 44.65149, 0.007165999, 0.005775, -0.102214, 0.9947199, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1946.945, 3249.07, 44.71108, -0.008644005, -0.09142806, -0.6611114, 0.7446463, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1949.111, 3248.373, 44.65237, 0.008444, 0.007437, 0.1672, 0.9858588, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1962.213, 3261.95, 44.5747, -0.007611, 0.016398, 0.9975239, 0.067966, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1925.256, 3269.951, 44.6074, -0.025329, -0.022326, 0.062863, 0.9974508, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1905.343, 3249.472, 44.21916, -0.01255501, 0.007135003, 0.9910895, -0.1324131, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1933.061, 3306.047, 44.24046, -0.01277, 0.022463, 0.9540151, -0.298643, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1955.673, 3283.957, 44.73479, 0.011438, -0.027888, 0.8540621, 0.5192971, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1961.121, 3290.362, 44.45789, 0.017513, -0.004230001, 0.9307751, 0.365148, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1956.019, 3289.801, 44.76816, 0.02422599, -0.03073098, 0.5109107, 0.8587427, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1999.461, 3222.017, 43.4597, 0.039479, -0.026088, 0.9985571, -0.025391, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1989.511, 3236.068, 44.81492, -0.0001250002, -0.009833006, 0.5405953, 0.8412253, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1969.216, 3205.413, 44.60633, 0.05594198, -0.02828599, 0.9802806, -0.187404, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1969.977, 3208.214, 44.74459, 0.040427, -0.04802299, 0.9720899, 0.226055, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1978.471, 3226.893, 45.0084, -0.03325799, -0.005882999, -0.191251, 0.9809599, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1956.885, 3173.099, 45.6122, 0.016901, -0.040662, 0.299251, 0.9531578, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1952.518, 3172.018, 45.96803, 0.002774, -0.040487, -0.323969, 0.9451969, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1992.936, 3277.459, 46.43135, -0.008234996, -0.009025996, 0.7147006, -0.6993237, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1992.251, 3272.868, 47.09502, 0.000265, 0.009907997, 0.199863, 0.9797738, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1788.725, 3381.841, 40.73758, 0.02137101, 0.01993601, 0.5295302, 0.8477874, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1806.655, 3359.86, 41.24075, -0.005404, 0.014889, 0.9959911, -0.08803901, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1884.019, 3356.352, 41.95602, -0.022826, 0.034416, 0.9789017, 0.200115, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1895.423, 3363.903, 41.56992, 0.022343, 0.010144, 0.09722698, 0.9949597, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1902.37, 3332.391, 42.80646, -0.01201099, -0.01675999, 0.9106786, 0.4126008, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1874.104, 3367.666, 41.40331, 0, 0, -0.6403993, 0.7680422, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1889.651, 3374.543, 41.23092, 0, 0, -0.2558101, 0.9667271, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1968.832, 3364.104, 43.11736, 0.01312701, -0.01714701, -0.5508782, 0.8343062, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_0.ymap
prop_joshua_tree_01d, 1818.218, 3410.429, 39.81676, 0, 0, 0.9956899, 0.092746, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_02_long_1.ymap
