ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_fan_03_d, -371.751, -814.4533, 32.48249, 0.03834199, -0.003706999, 0.6343728, 0.7720669, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -370.9125, -816.0213, 31.30702, 0.003878999, 0.06244196, 0.7195666, -0.6915996, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -368.7472, -733.5275, 31.30702, -0.016745, 0.06027999, 0.9061038, -0.418404, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -370.3752, -732.8126, 32.48249, 0.03744802, 0.009030006, 0.3471602, 0.9370143, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -368.3054, -727.8668, 32.2289, 0.006970997, -0.01675399, 0.9068847, -0.4209878, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -250.5105, -558.4114, 26.76678, -0.026555, 0.000164, 0.990421, -0.135503, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -248.8494, -557.3602, 26.52797, 0.011583, -0.013968, 0.9905227, -0.136145, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -246.2141, -558.7337, 27.06549, 0.03314599, 0.01962799, 0.05672397, 0.9976465, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -347.1526, -586.1023, 35.0545, -0.041184, 0.015433, 0.722106, -0.690383, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_fan_03_d, -93.74786, -550.2352, 31.32238, -0.014777, -0.060792, -0.587028, 0.8071457, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
