ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_med_01a, 212.7727, 43.21987, 82.69037, 0.02797999, 0.02744399, 0.9014847, 0.4310329, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_0.ymap
prop_palm_med_01a, 110.0132, 304.8919, 109.7777, -0.01646299, 0.001270999, 0.6912286, 0.7224476, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 741.1859, 119, 78.61737, -0.02781901, -0.01841501, -0.3513191, 0.9356613, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 752.1678, 139.1087, 78.2558, -0.004050001, -0.033115, 0.483694, 0.8746011, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 819.4781, -239.3611, 65.2431, -0.037906, 0.041094, -0.545163, 0.8364639, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 779.6286, -269.8128, 65.2431, -0.037906, 0.041094, -0.545163, 0.8364639, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 843.785, -266.3447, 64.3988, 0.002965, 0.04969999, 0.6580199, 0.7513528, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 899.0118, -306.2357, 64.16774, -0.02255701, 0.01114401, -0.1816011, 0.9830504, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 887.1937, -263.202, 67.00797, 0.03673598, 0.01216199, 0.9992005, 0.01004199, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 754.8574, -313.3093, 57.67273, -0.03819, -0.024689, 0.9948619, 0.09045399, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, 669.8113, 51.13446, 85.04326, -0.05295703, 0.05828804, -0.3570112, 0.9307745, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01a, -853.6191, -173.7932, 33.82127, 0, 0, 0.8338859, -0.5519369, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -819.8987, -231.8654, 34.30582, 0, 0, 0.9915768, 0.12952, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -827.1611, -219.4366, 33.82127, -0.001754, 0.015362, -0.492555, 0.8701439, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -836.4858, -203.7048, 33.82127, 0, 0, 0.8338859, -0.5519369, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -845.4612, -187.9326, 33.82127, 0.02913301, 0.005721002, 0.9991072, 0.03005801, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -723.2065, -187.4304, 34.6797, -0.01755101, 0.02394501, -0.4515152, 0.8917693, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -730.2672, -175.3824, 34.89459, 0.0005730002, -0.009914003, 0.05769002, 0.9982851, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -740.0317, -158.3814, 34.6797, -0.01755101, 0.02394501, -0.4515152, 0.8917693, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -735.1474, -166.8279, 34.41005, 0, 0, 0.8338859, -0.5519369, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -726.8175, -181.6108, 34.41005, -0.001754, 0.015362, -0.492555, 0.8701439, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -677.3979, -266.7756, 33.55593, 0, 0, 0.8338859, -0.5519369, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -669.2812, -280.889, 33.54307, -0.001754, 0.015362, -0.492555, 0.8701439, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -665.457, -287.3781, 33.79951, -0.01755101, 0.02394501, -0.4515152, 0.8917693, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -673.1307, -274.2454, 33.95027, 0.0005730002, -0.009914003, 0.05769002, 0.9982851, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -682.2823, -258.329, 34.05051, -0.01755101, 0.02394501, -0.4515152, 0.8917693, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_2.ymap
prop_palm_med_01a, -1615.209, -587.9564, 31.73931, -0.02393101, 0.04089002, 0.5729793, 0.8181993, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_1.ymap
prop_palm_med_01a, -1560.438, -868.1672, 8.920315, 0, 0, 0.8323662, 0.5542261, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_1.ymap
prop_palm_med_01a, -1553.886, -865.283, 9.045139, 0.021303, -0.014184, 0.8320932, 0.5540451, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_1.ymap
prop_palm_med_01a, -1619.897, -838.3298, 8.859692, 0, 0, 0.8323662, 0.5542261, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_long_1.ymap
prop_palm_med_01a, -2855.354, 38.81099, 11.86625, -0.04335599, -0.05162399, 0.06201598, 0.9957958, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_0.ymap
prop_palm_med_01a, -2855.953, 2.112782, 7.042122, -0.01789999, -0.09120597, 0.4942099, 0.8643597, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_0.ymap
prop_palm_med_01a, -3014.231, 121.0937, 13.11075, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
prop_palm_med_01a, -2938.793, 433.8891, 14.35884, -0.046507, -0.014156, 0.368822, 0.9282279, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_palm_med_01a, -2183.74, -395.1057, 11.48216, -0.004732, 0.001441, 0.689028, 0.7247179, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_strm_7.ymap
prop_palm_med_01a, -2187.52, -391.9338, 11.70409, -0.003758, -0.003217, -0.241006, 0.970511, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_strm_7.ymap
prop_palm_med_01a, -2661.192, 2306.698, 20.86114, -0.04764201, -0.01809, 0.9789233, -0.197768, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04_long_0.ymap
