ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_med_01b, 199.5257, -877.3815, 29.27829, 0.01041, 0.06196004, 0.5359553, 0.8419053, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_med_01b, 205.5994, -865.2382, 29.47089, -0.04121999, -0.019204, 0.9115379, 0.4086939, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_med_01b, 211.4703, -870.0104, 29.36997, -0.0006079998, -0.04030202, 0.5386402, 0.8415712, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_med_01b, 205.876, -865.3202, 29.2049, -0.037006, 0.003943, 0.9236181, -0.3815031, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_med_01b, 179.2839, 221.8199, 103.7193, 0, 0, 0.1810311, 0.9834774, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 204.5924, 240.1438, 103.5433, 0, 0, 0.732117, 0.681179, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 236.1667, 201.1153, 103.5433, 0, 0, 0.732117, 0.681179, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 228.1696, 232.2253, 103.5433, 0, 0, 0.732117, 0.681179, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 226.2879, 168.3693, 103.1855, 0, 0, 0.03405799, 0.9994199, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 203.1791, 161.6283, 103.1992, 0, 0, 0.7937288, -0.6082719, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 182.962, 165.5741, 102.653, 0, 0, -0.06463998, 0.9979087, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 168.1346, 189.6288, 103.7193, 0, 0, 0.8736607, -0.4865358, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_med_01b, 1307.261, -2287.526, 50.5152, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_med_01b, 1310.286, -2302.413, 50.57465, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_med_01b, 1083.219, -678.9639, 55.50035, -0.02894401, -0.005086002, 0.4554892, 0.8897561, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1078.675, -677.2449, 55.44611, -0.02894401, -0.005085002, 0.4554892, 0.8897561, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1070.512, -679.0125, 55.50035, -0.002323, 0.019141, 0.4553889, 0.8900838, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1128.945, -612.1201, 55.70361, 0.007572003, -0.007742003, 0.9987084, 0.04964202, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1126.409, -620.0247, 55.70361, -0.006574003, 0.01045201, 0.4434312, 0.8962234, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1125.956, -634.0023, 55.56911, -0.008747, -0.023223, 0.935531, 0.352372, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1148.993, -578.4837, 59.64397, -0.04444402, -0.05382702, 0.9585865, -0.2761151, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1143.836, -602.3182, 56.74353, -0.018193, 0.009540999, 0.935246, 0.353402, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1138.442, -654.6553, 54.65965, 0.006463, 0.034147, 0.335009, 0.9415737, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1177.043, -722.5676, 57.33681, -0.04293901, -0.02148001, 0.7595213, -0.6487082, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1178.093, -724.6213, 57.39499, 0.016287, -0.05409198, 0.6356497, 0.7699079, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1118.679, -743.435, 56.43802, -0.011909, -0.019907, 0.635747, 0.7715489, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1053.114, -595.1307, 56.12325, -0.01704201, 0.0006300005, 0.7605433, -0.6490633, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1056.151, -597.6204, 55.54031, -0.016311, -0.016494, 0.801341, 0.597758, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 1134.649, -540.5161, 61.86573, -0.048642, -0.045192, 0.9299261, -0.361703, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_med_01b, 509.899, -1241.667, 27.86282, -0.02437599, 0.01532899, 0.9542626, 0.2975799, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_med_01b, 511.6925, -1241.04, 28.52409, -0.008856003, -0.012663, 0.4566152, 0.8895301, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_med_01b, -1481.598, 207.7333, 55.5601, 0.001174, -0.03265699, -0.2927429, 0.9556326, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1490.734, 198.4958, 55.51323, 0.04884802, 0.02877401, 0.8602433, 0.5067222, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1490.128, 197.4993, 55.20055, 0, 0.05669299, 0, 0.9983916, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1426.03, 211.9196, 56.28056, 0.06052297, -0.03957198, -0.5745107, 0.8152966, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1425.992, 210.2476, 56.28056, -0.05250201, 0.04845701, -0.171149, 0.9826512, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1462.011, 204.2884, 54.45012, -0.03956001, 0.04060901, -0.6966681, 0.71515, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1463.491, 203.8241, 54.58934, 0, 0.05669299, 0, 0.9983916, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
prop_palm_med_01b, -1350.342, 237.7185, 57.62557, -0.021147, -0.0006409997, 0.8878989, -0.459552, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_long_0.ymap
