ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_sm_01e, 535.0145, 18.94138, 91.9942, 0.056055, 0.010116, -0.454296, 0.8890279, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, -112.1111, -347.1484, 40.99146, 0, 0, 0.8433912, 0.5373001, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, -65.73709, -331.2479, 40.37531, 0, 0, 0.8433912, 0.5373001, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 213.8203, -40.61713, 67.91205, -0.03529299, -0.003392999, 0.6419337, 0.7659399, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 226.7426, -45.03506, 67.91205, -0.006071002, -0.03563401, 0.6418732, 0.7659583, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 181.0956, -29.49408, 66.63736, -0.017534, 0.015388, 0.258506, 0.9657279, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 220.1659, -42.47174, 67.36043, 0.02108299, 0.002981999, -0.5452749, 0.8379868, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 150.235, -55.44858, 67.50911, 0, 0, 0.8541608, 0.5200089, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 494.5955, -231.2236, 49.26836, 0, 0, 0.9707732, -0.2399991, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 489.3442, -248.5441, 49.26836, 0, 0, -0.1529861, 0.9882284, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_0.ymap
prop_palm_sm_01e, 670.4792, 50.8804, 83.79594, -0.03561401, -0.07919002, 0.4753141, 0.8755211, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_sm_01e, 1044.992, -1692.533, 30.96585, -0.09897897, -0.05690398, 0.7529298, -0.6481218, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_sm_01e, 1034.249, -2264.917, 29.53473, 0, 0, -0.4617487, 0.8870108, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_sm_01e, 1028.392, -2284.083, 30.12909, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_sm_01e, 1101.131, -979.0728, 43.212, 0.02729499, -0.06276798, 0.8429907, -0.5335558, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_long_0.ymap
