ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_sm_01f, -265.6212, -772.0718, 31.02282, 0, 0, 1, 0, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -264.7503, -816.8099, 30.57583, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 89.2562, -686.8263, 43.40702, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 85.88379, -696.6366, 43.40702, 0, 0, 0.997564, 0.069757, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 82.33911, -706.3177, 43.40702, 0, 0, 0.8216469, -0.569997, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -90.03955, -693.0551, 43.35608, -0.029912, 0.031748, 0.6851041, 0.727138, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -44.86603, -681.5929, 49.14192, 0, 0, 0.951614, -0.307296, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -59.38837, -687.9994, 49.15983, 0, 0, 0.2918591, 0.9564613, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -66.58978, -691.6031, 49.17434, -0.029457, 0.054133, 0.956719, 0.284413, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -73.25067, -694.2155, 49.17341, 0, 0, 0.6857568, 0.7278308, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -52.35132, -684.9496, 49.18025, 0, 0, -0.07437702, 0.9972302, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -38.22894, -678.3973, 49.17013, 0, 0, 0.180858, 0.9835092, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -154.5804, -659.8337, 47.34905, 0, 0, 0.7071068, 0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -161.6302, -728.5895, 39.51799, 0, 0, 0.08715498, 0.9961948, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -151.1149, -732.8813, 40.07416, 0, 0, 0.7933529, 0.608762, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -178.4016, -778.1144, 29.7908, -0.006403001, -0.017858, 0.9061481, -0.4225351, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -188.1078, -774.8439, 29.16492, 0, 0, 0.9238793, 0.3826841, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -198.1583, -770.9357, 29.244, 0, 0, 0.9659259, -0.258819, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -202.2852, -782.4628, 28.92151, -0.007687005, -0.004897003, 0.8433565, 0.5372773, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -175.0336, -765.7983, 39.51799, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -164.5112, -769.3427, 39.51799, 0, 0, -0.04362002, 0.9990482, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -229.0054, -751.994, 28.96002, 0, 0, 0.9063079, -0.422618, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -215.5093, -637.6572, 47.99383, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -121.7078, -619.4684, 47.88358, -0.02717399, -0.04360299, -0.001187, 0.9986786, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -122.3233, -618.2573, 48.45567, -0.001112001, 0.02568601, -0.003759002, 0.9996624, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -142.4611, -664.2446, 47.99383, 0, 0, 0.7071068, 0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -202.2238, -642.4927, 48.16503, 0, 0, 0.3826829, 0.9238797, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -190.9122, -646.6099, 46.75945, 0, 0, 0.7071068, 0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -178.7928, -651.021, 47.67547, 0, 0, 1, 0, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -167.5823, -655.1013, 47.99383, 0, 0, 0.3826829, 0.9238797, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 40.35333, -563.7175, 30.90731, 0, 0, -0.3007059, 0.9537169, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 18.09296, -565.535, 30.90731, 0, 0, -0.5000003, 0.8660253, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 76.78989, -579.8153, 30.90731, 0, 0, 0.9914449, -0.130526, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 61.87051, -568.3362, 30.90731, 0, 0, 0.9063079, 0.422618, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 34.64105, -588.2977, 30.98672, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, 50.39429, -593.7474, 30.90731, 0, 0, 0.9914449, 0.130526, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -111.0644, -589.8831, 48.00091, 0.038558, -0.052147, 0.935468, -0.34741, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -111.1911, -588.9904, 48.00091, 0.011188, 0.01421, 0.9521633, 0.3050541, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -118.691, -603.2855, 48.00091, 0.06110797, 0.01856399, 0.7632267, -0.6429667, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -121.7474, -603.7191, 48.00091, 0.02032301, -0.015748, 0.7653992, -0.6430422, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -272.8085, -838.9889, 30.33717, 0, 0, 0.9063079, 0.422618, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -182.5284, -789.6415, 29.70747, 0, 0, 0.7071068, -0.7071068, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -200.6598, -809.4137, 28.40569, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -190.9535, -812.6843, 29.80737, 0, -0.02265801, 0, 0.9997433, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -186.7388, -801.2302, 29.83559, 0, 0, 0.9584696, -0.2851949, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -210.7103, -805.5055, 28.97775, 0.010176, -0.012127, -0.6427073, 0.7659483, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -206.4955, -794.0514, 28.88889, 0.002396, 0.018196, 0.991278, -0.130504, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -192.2347, -786.371, 29.11396, -0.018498, 0.018498, 0.7068648, -0.7068648, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -196.4451, -797.9596, 28.92151, 0, 0, 0.9938795, 0.1104701, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -249.9357, -796.2245, 30.88577, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -247.0259, -936.0709, 30.7944, -0.01899701, 0.01332601, 0.6501973, 0.759411, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -262.6601, -930.5341, 30.82067, -0.02260399, -0.005247999, 0.9994687, 0.02288599, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -47.73468, -875.9281, 40.18884, 0, 0, 0.9856499, 0.168803, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -45.53845, -857.2826, 40.18884, 0, 0, 0.279687, 0.9600912, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -58.78082, -889.045, 40.18884, 0, 0, -0.2863191, 0.9581343, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -293.7737, -1118.331, 22.60874, 0.06646901, -0.110863, 0.4176571, 0.899363, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -301.2354, -1116.851, 22.60874, 0.03732799, -0.04819099, 0.4212629, 0.9048877, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -300.343, -1120.096, 22.36746, -0.006403001, -0.017858, 0.9061481, -0.4225351, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -308.6201, -1115.206, 21.74158, 0, 0, 0.9238793, 0.3826841, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01f, -323.7412, -1118.835, 23.84088, -0.007687005, -0.004897003, 0.8433565, 0.5372773, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
