ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_plant_palm_01a, 8.767874, -705.0331, 45.56292, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_03_strm_0.ymap
prop_plant_palm_01a, 1.159381, -708.4045, 45.56292, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_03_strm_0.ymap
prop_plant_palm_01a, 542.3464, 238.7565, 102.6899, 0, 0, 0.7372773, -0.6755903, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 538.5153, 202.2809, 102.0406, 0, 0, -0.04361901, 0.9990482, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 532.2868, 183.8773, 101.483, 0, 0, 0.9848078, -0.1736479, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 523.4269, 214.5206, 104.346, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 523.0279, 215.3947, 104.346, 0, 0, 0.9537169, -0.300706, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 518.8445, 223.7551, 104.346, 0, 0, 0.9063079, -0.422618, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 497.7465, 231.0608, 104.346, 0, 0, 0.9063079, -0.422618, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 496.8127, 230.4715, 104.346, 0, 0, 0.7660441, 0.642788, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 510.7825, 198.0031, 104.346, 0, 0, 0.9537169, -0.300706, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 506.7513, 228.4743, 104.346, 0, 0, 0.9537169, -0.300706, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 510.5287, 226.8314, 104.346, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 464.9855, 217.94, 102.8684, 0, 0, 0.7372773, -0.6755903, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
prop_plant_palm_01a, 465.6939, 219.6006, 102.8684, 0, 0, 0.7372778, 0.6755898, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_03_strm_0.ymap
