ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_plant_palm_01c, 232.7955, -940.1738, 28.81294, 0.07939099, -0.119754, 0.5468199, 0.8248298, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 230.9515, -943.4189, 28.88491, 0.05634899, -0.04180799, 0.9007568, 0.4286189, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 230.5665, -941.1622, 28.84454, 0.02095699, 0.06696199, -0.7009439, 0.7097567, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 209.6299, -999.0101, 28.31114, 0.07939099, -0.119754, 0.5468199, 0.8248298, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 209.3837, -1005.93, 28.36871, -0.071478, -0.124639, 0.982419, -0.119201, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 209.6114, -1005.445, 28.30023, 0.101339, -0.101855, 0.374403, 0.9160668, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 184.5668, -1004.001, 28.36871, -0.071478, -0.124639, 0.982419, -0.119201, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 184.7945, -1003.515, 28.34211, 0.101339, -0.101855, 0.374403, 0.9160668, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 196.4809, -1008.51, 28.36871, -0.1103, -0.09207603, 0.8799493, -0.4528192, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 196.7894, -1008.072, 28.36871, 0.1179349, -0.08206896, 0.2043709, 0.9682916, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 154.3134, -933.5319, 29.04872, -0.0003650009, -0.14368, 0.9125, 0.383014, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 153.8279, -933.3042, 29.07744, 0.138676, 0.03759, -0.6103871, 0.7789631, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 149.757, -945.5268, 28.97938, 0.025361, -0.141424, 0.829198, 0.540173, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 149.3185, -945.2183, 28.88235, 0.143101, -0.012886, -0.3020269, 0.9424096, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 142.1301, -964.4442, 28.61182, 0.138676, 0.03759, -0.6103871, 0.7789631, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 142.6155, -964.6719, 28.62495, -0.0003650009, -0.14368, 0.9125, 0.383014, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 137.6207, -976.3583, 28.46292, 0.143101, -0.012886, -0.3020269, 0.9424096, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 138.0592, -976.6668, 28.53679, 0.025361, -0.141424, 0.829198, 0.540173, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 146.9515, -951.8669, 28.76789, 0.10983, -0.09263503, 0.2931381, 0.9452122, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 146.8115, -952.3845, 28.88616, -0.06034299, -0.130394, 0.9890698, -0.03312399, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 204.0464, -855.4782, 29.62278, 0.101339, -0.101855, 0.374403, 0.9160668, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 203.8188, -855.9636, 29.66786, -0.071478, -0.124639, 0.982419, -0.119201, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 158.7636, -921.7675, 29.27573, -0.071478, -0.124639, 0.982419, -0.119201, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 158.9912, -921.2821, 29.17216, 0.101339, -0.101855, 0.374403, 0.9160668, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 161.0823, -936.6634, 29.05943, 0.138676, 0.03759, -0.6103871, 0.7789631, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 139.6018, -986.0413, 28.37645, -0.07684696, -0.1214029, 0.9762845, -0.1619399, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_13_strm_0.ymap
prop_plant_palm_01c, 279.4714, 55.94081, 87.5565, 0, 0, -0.594869, 0.8038228, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_1.ymap
prop_plant_palm_01c, 277.7268, 57.07669, 87.5565, 0, 0, 0.1477531, 0.9890243, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_1.ymap
prop_plant_palm_01c, 264.0574, 38.07562, 87.5565, 0, 0, 0.688313, 0.7254139, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_1.ymap
prop_plant_palm_01c, 241.0746, 48.18665, 87.5565, 0, 0, 0.688313, 0.7254139, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_1.ymap
prop_plant_palm_01c, 242.9363, 47.17761, 87.5565, 0, 0, -0.156491, 0.9876794, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_07_strm_1.ymap
prop_plant_palm_01c, -81.05151, -76.90228, 57.0915, 0.030191, 0.127214, 0.988335, 0.078096, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_strm_0.ymap
prop_plant_palm_01c, -71.30994, -39.35097, 62.78651, 0.030191, 0.127214, 0.988335, 0.078096, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_strm_0.ymap
prop_plant_palm_01c, -53.61505, -7.513565, 69.74595, -0.021444, 0.034411, 0.0446, 0.9981818, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_strm_3.ymap
prop_plant_palm_01c, -54.61969, -11.80624, 69.16363, 0, 0, 0.993558, -0.113325, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_strm_3.ymap
prop_plant_palm_01c, 1054.917, -478.7863, 63.01162, 0, 0, 0.9508468, 0.309662, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_strm_1.ymap
prop_plant_palm_01c, 1047.98, -443.1201, 64.98586, 0, 0, 0.017345, 0.9998496, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_strm_1.ymap
prop_plant_palm_01c, 1045.296, -442.6863, 64.98586, 0, 0, -0.418376, 0.9082739, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_d_strm_1.ymap
prop_plant_palm_01c, -173.5981, -1545.063, 34.14029, 0, 0, -0.6755903, 0.7372773, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_strm_1.ymap
prop_plant_palm_01c, -180.9715, -1545.832, 33.95173, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_strm_1.ymap
prop_plant_palm_01c, -179.0771, -1552.816, 34.14029, 0, 0, 0.2397921, 0.9708242, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_10_strm_1.ymap
