ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_birch_01, -1804.111, 2027.555, 127.3511, 0, 0, 0.8433912, 0.5373001, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_01, -1794.072, 2029.792, 126.2251, 0, 0, -0.3746069, 0.9271837, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_01, -1867.042, 1982.441, 140.67, 0, 0, 0.9876885, -0.1564341, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_01, -1788.816, 1892.045, 145.5787, 0.03796401, -0.021479, -0.4919551, 0.8695272, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_01, -1777.501, 1875.798, 149.5627, 0, 0, 0.9170601, -0.398749, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_01, -1712.22, 2091.96, 107.7988, 0, 0, 0.7489558, 0.6626198, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_birch_01, -2558.228, 1931.611, 160.5283, -0.02844901, 0.010737, -0.024592, 0.999235, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_critical_0.ymap
prop_tree_birch_01, -1669.934, 2158.882, 101.7064, 0.03223801, -0.029383, 0.6729761, 0.738377, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1733.85, 2110.371, 112.7716, 0.034534, 0.026646, 0.84402, -0.534535, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1707.361, 2227.313, 83.53336, 0.04043199, -0.04651199, -0.06772599, 0.9957987, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1813.768, 2048.577, 129.6312, 0, 0, 0.9099613, 0.4146931, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1806.333, 2046.432, 127.7696, 0, 0, -0.1736479, 0.9848078, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1788.218, 2057.78, 123.9201, 0, 0, -0.681998, 0.7313541, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1835.265, 2048.26, 134.2811, 0, 0, 0.7547485, -0.6560144, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1904.1, 1982.371, 141.4909, -0.02213901, 0.03758401, 0.8608092, -0.5070551, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1770.465, 2290.505, 72.75867, 0, 0, -0.5224991, 0.8526399, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_birch_01, -1908.705, 2287.997, 59.49045, 0.05319798, 0.03119699, -0.6756368, 0.7346507, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
