ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_olive_01, 576.8619, -1507.8, 24.771, -0.01962001, -0.09209204, -0.2718641, 0.9577181, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_1.ymap
prop_tree_olive_01, 626.5914, -1620.858, 20.89921, 0.20023, 0.037238, 0.8594139, -0.4689659, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_1.ymap
prop_tree_olive_01, 624.7936, -1612.698, 21.61693, -0.045249, -0.041823, -0.432452, 0.8995491, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_1.ymap
prop_tree_olive_01, 391.546, -1641.415, 27.6431, 0.06026097, -0.05110797, 0.7368976, 0.6713706, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_critical_1.ymap
prop_tree_olive_01, 140.0956, 6812.698, 16.75181, 0, 0, -0.2292001, 0.9733793, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1539.212, 6466.579, 21.61875, 0.003965002, 0.03862901, 0.9940234, -0.102028, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1337.376, 6540.799, 13.44262, 0, 0, -0.199368, 0.9799247, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1327.896, 6530.842, 13.86856, 0, 0, 0.8870107, -0.4617488, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1455.353, 6519.047, 18.28931, 0, 0, -0.06540301, 0.9978589, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1261.748, 6523.189, 17.54671, 0, 0, 0.9993495, -0.03606298, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1242.832, 6522.371, 18.59726, 0, 0, 0.8338859, -0.5519369, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 237.2584, 6851.578, 16.81697, 0, 0, 0.9320079, -0.362438, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 152.5278, 6849.21, 18.00009, 0, 0, 0.9953963, -0.09584602, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 135.4859, 6936.06, 16.76478, 0.135718, 0.02509, 0.6938, 0.7068188, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 218.751, 6715.029, 25.92816, 0, 0, 0.212178, 0.977231, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 1356.825, 6565.955, 11.38001, 0.005976001, 0.05685601, 0.9928952, 0.104359, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 233.7916, 6800.513, 18.0224, 0.079523, -0.017001, 0.9384959, -0.335578, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 334.9044, 6683.867, 25.84798, 0.03453602, 0.001216, -0.6951825, 0.7180023, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 344.8552, 6750.985, 10.82542, 0.007073002, 0.04314002, 0.9858804, -0.1616441, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 372.0377, 6733.004, 19.25968, -0.07148802, -0.034757, -0.4358651, 0.8964949, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, 468.9376, 6651.452, 19.59733, 0.08536, -0.009879, 0.115892, 0.9895378, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_critical_0.ymap
prop_tree_olive_01, -401.2545, 5514.444, 96.59464, 0.11609, 0.04788202, -0.5742042, 0.8090241, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_1.ymap
prop_tree_olive_01, -394.77, 5506.101, 106.2008, 0.019834, 0.064083, 0.909746, 0.40971, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_1.ymap
prop_tree_olive_01, 141.2287, 6022.073, 185.2697, 0.05531102, 0.07772002, 0.5771831, 0.811024, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
prop_tree_olive_01, 123.7227, 6050.41, 181.5901, 0.166167, 0.06404401, 0.8427791, 0.5079471, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
prop_tree_olive_01, 45.487, 6188.867, 47.24451, 0.162923, 0.168285, 0.7204159, 0.6527919, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
prop_tree_olive_01, 72.37076, 6152.744, 88.84256, 0.169667, 0.08180302, 0.3868351, 0.902707, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
prop_tree_olive_01, -258.4108, 5983.912, 55.86096, 0.05884304, -0.03221202, -0.5828593, 0.8097993, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
prop_tree_olive_01, -250.1425, 5966.972, 68.1814, 0.019834, 0.064083, 0.909746, 0.40971, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
prop_tree_olive_01, 133.7149, 6090.599, 156.4506, 0.04736202, 0.09192904, 0.8263014, 0.5536532, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_4.ymap
prop_tree_olive_01, 1280.793, 5818.388, 481.2626, 0.1872569, -0.08932597, 0.9618536, -0.1783069, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_5.ymap
prop_tree_olive_01, 1788.793, 5120.877, 74.90753, -0.126397, -0.08757, -0.5627201, 0.81222, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1850.899, 5111.829, 51.41641, 0, 0, -0.5150383, 0.8571672, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1683.396, 4974.967, 40.69247, 0, 0, 0.2272539, 0.9738355, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1679.363, 5011.667, 55.7058, -0.02875701, -0.113136, 0.7302861, -0.673094, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1995.471, 5209.48, 54.60455, -0.1914071, -0.07283502, -0.3481081, 0.914811, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1641.322, 4944.499, 40.19656, 0, 0, 0.731354, -0.681998, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1729.254, 5492.451, 255.4742, 0.09017896, 0.1494629, 0.8739577, -0.4535708, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1609.829, 5143.322, 125.5062, -0.05133102, 0.06558102, 0.7847303, 0.6142172, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 1925.601, 5452.414, 168.1298, 0.21834, 0.09336, 0.970891, -0.031341, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_0.ymap
prop_tree_olive_01, 2265.477, 5197.772, 59.98587, -0.100862, 0.03341901, 0.1573431, 0.9818112, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_4.ymap
prop_tree_olive_01, 2295.421, 5203.397, 57.85785, -0.0009540011, -0.142063, -0.32518, 0.9349199, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_4.ymap
prop_tree_olive_01, 2210.875, 5555.494, 52.97198, -0.02202299, -0.009421997, -0.3932118, 0.9191358, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_4.ymap
prop_tree_olive_01, 2351.24, 5600.591, 52.86361, -0.199193, 0.07728899, 0.3533809, 0.9107527, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11b_critical_4.ymap
prop_tree_olive_01, 212.1068, 6646.472, 29.17337, 0, 0, 0.8929791, 0.450098, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 235.4481, 6586.783, 28.66388, 0.04897403, -0.06658703, -0.6358653, 0.7673612, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 332.1395, 6435.509, 29.47733, 0, 0, 0.8929791, 0.450098, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 305.8918, 6423.393, 30.56, 0, 0, 0.7490498, 0.6625137, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 434.0585, 6520.402, 26.83011, 0, 0, 0.40305, 0.9151779, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 442.0605, 6486.766, 28.29715, 0, 0, -0.2631002, 0.9647685, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 776.4099, 6466.191, 27.89917, 0.04138403, -0.01128601, -0.2628582, 0.9638805, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 413.0491, 6601.233, 26.07013, 0.02862601, -0.07368702, 0.9627672, -0.2585151, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 412.5458, 6640.438, 26.52435, 0.043975, 0.024129, 0.968346, 0.24452, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_critical_5.ymap
prop_tree_olive_01, 211.6782, 2552.84, 48.84295, 0, 0, 0.8191523, 0.5735762, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_01_critical_0.ymap
prop_tree_olive_01, 951.9401, 2091.753, 51.93013, 0.033997, -0.043411, -0.375095, 0.925345, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_05_critical_0.ymap
prop_tree_olive_01, 145.7054, 2805.76, 42.8719, 0.02295101, -0.02734401, -0.6424923, 0.7654602, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_10_critical_0.ymap
prop_tree_olive_01, 576.8619, -1507.8, 24.771, -0.01962001, -0.09209204, -0.2718641, 0.9577181, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_rd_critical_1.ymap
prop_tree_olive_01, 626.5914, -1620.858, 20.89921, 0.20023, 0.037238, 0.8594139, -0.4689659, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_rd_critical_1.ymap
prop_tree_olive_01, 624.7936, -1612.698, 21.61693, -0.045249, -0.041823, -0.432452, 0.8995491, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_rd_critical_1.ymap
prop_tree_olive_01, 391.546, -1641.415, 27.6431, 0.06026097, -0.05110797, 0.7368976, 0.6713706, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_rd_critical_1.ymap
prop_tree_olive_01, 140.0956, 6812.698, 16.75181, 0, 0, -0.2292001, 0.9733793, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 1539.212, 6466.579, 21.61875, 0.003965002, 0.03862901, 0.9940234, -0.102028, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 1337.376, 6540.799, 13.44262, 0, 0, -0.199368, 0.9799247, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 1327.896, 6530.842, 13.86856, 0, 0, 0.8870107, -0.4617488, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 1455.353, 6519.047, 18.28931, 0, 0, -0.06540301, 0.9978589, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 1261.748, 6523.189, 17.54671, 0, 0, 0.9993495, -0.03606298, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 1242.832, 6522.371, 18.59726, 0, 0, 0.8338859, -0.5519369, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
prop_tree_olive_01, 237.2584, 6851.578, 16.81697, 0, 0, 0.9320079, -0.362438, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_09_critical_0.ymap
